rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
1	1155	13	1264	1043	221	542	90	501	131	44.7	136.802	131.984	447249	68	on	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2
2	1146	13	1120	893	227	417	143	476	84	44.6	5.744	5.476	18899	92	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,2)@1
3	1140	24	504	442	62	240	12	202	50	37.1	0.253	6.554	973	90	gone	ab(d6,tt,ord,asp100,nb200k)@1.classic(t1,c4,w0,l0)@1
4	1136	19	664	571	93	294	38	277	55	41.5	89.276	86.641	282972	69	on	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.dil(r30,d6)@1
5	1127	24	504	438	66	241	11	197	55	37.6	0.179	5.336	666	91	gone	ab(d6,tt,ord,asp25,nb200k)@1.classic(t1,c4,w0,l0)@1
6	1115	23	504	434	70	249	3	185	67	41.6	8.196	9.591	83762	84	gone	ab(d6,ord,nb200k)@1.classic(t1,c4,w0,l0)@1
7	1114	19	664	560	104	292	40	268	64	42.0	112.697	109.309	356542	67	on	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.dil(r15,d6)@1
8	1101	23	504	429	75	233	19	196	56	38.5	0.177	4.949	664	90	gone	ab(d6,tt,ord,asp50,nb200k)@1.classic(t1,c4,w0,l0)@1
9	1098	18	664	552	112	270	62	282	50	50.6	15.229	14.972	54737	79	on	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1
10	1098	18	664	552	112	282	50	270	62	50.6	14.427	14.201	51539	80	on	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1
11	1093	23	504	426	78	234	18	192	60	38.3	2.763	7.152	14712	85	gone	ab(d6,tt,nb200k)@1.classic(t1,c4,w0,l0)@1
12	1093	23	504	426	78	234	18	192	60	38.3	2.843	4.995	14822	89	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1
