# book v1 (rank.exe bookgen)
# a (line owner): ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2
# b (target):     ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 29 of 32 (replay drift vs stored result: 3), entries 553, move conflicts 2
000b4d8f51dcc5d7 1 4 1
002812e2814af4f2 1 4 0
00aa4393d6d3b78d 6 4 5
00eda84ca1336223 1 5 0
01ef2d17ee7e561d 0 3 1
0219073b9f01c09a 2 4 1
032b21a207ce032d 1 5 2
032d78b6af952c00 3 2 4
032ebadf126a7675 1 7 0
032f3c823f168583 3 1 2
0373c51e3b5d7289 2 4 3
04e6cfa909eadeca 1 4 1
0556d41e688bbcf2 3 3 3
0557234dc990fb54 3 1 2
06c52d8fe5f0c6b4 0 4 0
07d7e22259914a81 1 2 0
08fb95dd9677bbc8 2 0 1
094282d2505ea367 1 4 1
0a587f617cc2e709 3 4 2
0a591d92afbdcdec 3 7 2
0a9999da007e7e13 1 4 2
0bc029f49806a4c8 1 2 0
0c061f9b20eed3c5 1 5 0
0c0df45157c05a99 5 3 4
0d16d7f67e9a5133 2 3 2
0d7eebc1175adff0 1 2 0
0e127236426ba14b 1 5 0
0ebaa1d46b80780c 2 3 1
0ee407f4dc87a41c 0 3 1
0efc08c180d17c93 2 6 1
0f0cbe204c79235c 2 1 3
0f839eaaa3017ef7 2 2 2
10c3e9b6af45f9dc 2 5 1
12a207e7340c2937 1 5 0
12c05768bb42be44 1 1 2
13396e477ab8cbca 0 3 0
1366953816ed28f1 4 4 4
136fdbc24b326632 0 5 1
139bf4512eb16a5a 0 4 1
14abb8e150c99054 1 2 0
15def0b6e89889b6 0 5 1
1615b762b8d43e9b 0 7 1
16acfe0622a9ba1a 4 4 5
16e72b7c26c2950d 2 2 2
16eeaf53a2cbdb78 6 6 5
16f96e7806f13ed9 0 5 1
17aef4074499e34a 0 6 1
17bd27f318a5b47f 1 6 0
17d97f2614933491 1 3 0
1811839542ee7e15 1 3 0
18585e0366254268 1 4 1
187e4089b58b21bc 0 3 1
1882daf13cb00918 6 6 5
