# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s3,68364898,value,lin,129-1,con100)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,2)@1
# board boards/board1.txt, max half-moves 8, A-won replays kept 23 of 32 (replay drift vs stored result: 11), entries 42, move conflicts 19
017b2b1d483f61c3 0 6 1
01cb45a0cde70ef8 3 2 3
01d7031dd2ac6a33 0 6 1
0e3de0073cbac445 0 6 1
1712d21ca0e9f23b 3 5 2
17e15be222453a5c 0 0 1
1aba979fcc39cae0 1 1 1
286f4e049fbae147 4 6 3
2cb550229625e80d 5 6 4
37eecce02336c251 3 6 2
39ed905441bfbc77 2 4 1
4430bd72d7074c92 3 1 2
54ce0f10f64711a6 3 2 3
5d62550f6e97ee32 4 1 4
5daf585175b2a3b9 4 5 3
607f5a8b3e6e3701 4 6 3
65d309e23c9e10eb 4 6 3
68c0b9ea65cf3260 3 1 2
6d6cf0c6b5698d85 2 6 1
70e12a61d3c8a4a7 3 6 3
77e3e93b3772a449 3 6 2
785ec651ef97105b 2 4 1
7877e519211bd67a 3 2 3
7deefef5b52ffb4e 0 1 1
7e30ea371d82d352 0 1 0
89fffb6bc80573da 4 1 3
96026427b4f61f73 4 5 3
976808de0e021736 1 1 1
a902bcd228e00740 1 1 1
ad8727902c8d6c8c 3 1 3
ae15223c62cb940c 4 1 3
b77a63eab8c46b6c 6 1 5
b9a0e6999baf2030 5 0 4
c0fecb0284a7091c 0 3 1
c3cfde5494114a00 4 2 3
d75b6f1290604c62 5 1 4
e5ec3f2310b0d053 0 6 1
e8928f8ea32f037e 0 1 0
eb1379d736e8e43b 5 6 4
f0acedb5b216463c 0 1 0
f98f93a6a16a0f4d 5 6 4
ff3e86c7a867bb6a 4 2 3
