# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
# b (target):     ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 7 of 32 (replay drift vs stored result: 12), entries 134, move conflicts 2
00a776fe3d3b3efd 3 4 4
01e3b4a6c054ab2e 2 5 1
02b88d2c4a23834b 1 5 0
057d08e0b30e7e61 0 6 1
0883e0734733113a 2 5 1
0c1a34ce22ebb743 5 0 4
14f766066c191e34 1 1 0
153226bb79e6361b 0 3 1
160d6ab06b9b06ad 1 2 0
16b080b701a18b39 3 4 4
16fa0e169f6a0c4f 3 3 3
185692e43776850b 1 7 0
1a239fecedf9b9a1 4 4 5
1b8a923e93e1759f 2 4 1
1c634d227db45485 4 2 3
1e1b802ebec7cb48 1 2 0
1ef0202c8167dc50 2 4 2
23d5212dd2652a02 3 4 4
24af66b25ec210ff 3 0 2
251929d5881eb992 2 7 2
26b15eae7f7eadb9 1 1 1
28204179ed05b1be 4 0 3
28a3ef9c4d5c6289 1 4 0
2d5daa0e11157e4d 1 2 0
2eea8647790e7cfc 4 5 5
2f3a65505d348866 5 4 4
3058c9b61f55bd9f 4 6 3
305c01486ba1d9a9 1 6 0
36d0074dfd84fd40 4 5 3
37387974c5e03f67 2 2 3
37b8692c4641a6e6 5 2 4
3890070684a6a838 3 3 2
394413592bc0a05c 7 1 6
3f01832b3acd602d 4 5 3
3f3debc682139662 3 4 4
43b5ac6f0f11606c 1 2 2
4430bd72d7074c92 3 1 3
46a62450d233ebb3 6 1 5
46fdec62f5079a7a 4 1 3
48748d2a916885ae 1 4 0
49ddc748b66229fa 1 2 0
4a2959e2d0e5df65 5 2 6
4a499d39cc0b936b 6 3 5
51ac05db10e761ea 1 4 0
51d3e4fa56bd6a17 0 3 1
54b7118e69c9e492 0 1 1
557bd19bab5f0e43 5 5 4
56280ad74097b4d5 2 6 1
5666412faf62ccca 0 0 1
569ed792e7ec0412 5 4 4
56ddb3fd8f851d6a 4 5 5
5f43813e03e30f87 2 1 3
607f5a8b3e6e3701 4 6 3
633e60c7cd6a6267 2 1 3
63c881826d88696d 0 4 0
63cc6dce194da7a8 1 4 2
6558fcc6300fcab7 3 3 3
66e697098dbb28cb 1 3 0
69ba29ad22fb2d51 0 3 0
6a5aef4e63873c1d 5 1 6
6dc5b499892520e3 0 5 1
6f430fea2f5bd3cb 3 5 2
70912e88436a1267 1 0 0
710719542004bf5d 5 3 6
7114d8ac196ee073 3 5 4
712187c7eb86e8c8 3 2 2
728811af1b1c3120 3 7 2
74852ff1e22ab911 3 4 4
76d6c22628db6713 4 5 3
7748725c1053d402 3 4 3
78accc6116a3f1e2 3 1 4
78ef6b09cd1883d4 3 2 2
7a582576250a099f 4 5 5
82d1999ef2865411 2 6 2
85d1a124832d4ad8 2 3 1
86548858778f1ee3 2 1 3
86cf396c021a69f8 1 4 2
88bd04776f47a372 0 2 0
89d136443218a04b 3 6 2
8a8e0ca93fe78efa 3 2 2
8b7f76340fec5394 2 3 3
8cf04f5b98a37998 5 1 4
8e0ff4b6ae7dbfe4 0 3 1
8f4b2383180ca920 2 5 1
905804dd7ab2eab0 2 3 1
91102f1f3b926646 3 2 2
916afa2574966eb9 4 4 4
9a5795dce7321cd1 1 2 0
9a844d4a525773a1 1 4 2
9cfa38096550735b 5 1 4
9faeadecf37b5f85 3 2 2
a05392d160f3decc 1 4 2
a12b99361710c10c 0 7 1
a2877bf21e6dd18c 4 1 3
a458b7c95d463353 3 6 4
a6119970ec634f0d 2 3 1
a6417b6669545b6b 4 3 5
a6b05fcba8aea469 4 2 3
aab8c5269b28a097 1 4 0
acd3fbd8633a4162 3 2 2
adc5c8482be1b7ab 4 3 5
b0d98c44dbce8a60 1 6 0
b3be27d570af4faf 6 1 5
b476dad9b4920d18 1 4 2
b5af7c7d45d3f913 3 3 3
b77a63eab8c46b6c 0 1 1
b7bd20812793edb2 2 3 3
b85f1caf3b3a6f12 1 0 2
bd0441b328188b3c 4 2 3
bdc463074748aa40 1 2 0
be7d8026319186b1 2 0 1
c73957800545211b 0 6 0
c7e78cf26969d4c1 3 1 2
c8bf49e125ee8833 1 0 0
caf89a557a9a83c8 4 6 3
d159f039a00e5204 6 6 5
daab150be271ae11 0 1 1
db85335b9d799fcb 0 3 1
db95593ed38065a1 5 2 4
dc741beb51e5bd44 0 5 1
e14cb851d4bd8d77 0 3 1
e2ddbe6e4e2ab2bc 1 4 0
e3b7d06f5ec44b85 3 5 2
e3d984043809b685 1 4 0
e3fbdee45fec688a 0 3 1
e5531ca041d90ba2 5 7 4
e616b4e7e5eecf48 3 4 4
e85908c8b158a59c 4 5 3
e92baad83b9ea5cd 5 6 4
f32c48b76fe319d9 3 3 3
f4d3fe42c3b88c69 0 5 1
f50197bcd94109f4 1 1 2
f88cab6543cdf758 0 3 1
fc8e902720034096 2 3 1
