# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,2)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 16 of 32 (replay drift vs stored result: 0), entries 24, move conflicts 0
1294219c2dc0d38a 4 4 4
14e62216656ce611 2 7 1
222db03a1ed39edf 5 6 4
245e90ac441b1e19 0 5 1
25d3e810b95302ea 4 5 4
2ab0db7b514ec2dc 5 5 4
2c0c6975f861d2db 2 6 3
2fe97a104e8783aa 3 2 2
3ef8b5a679bc4d2e 0 2 0
4345ee4e743e9b72 0 7 1
490e8d130ca1c01e 5 5 4
53e7e4078527c7bc 1 7 1
607f5a8b3e6e3701 1 6 0
637e1f06c7cc7438 4 3 3
6f9cbd01a64cc2f9 4 4 3
7135773ff0554170 1 3 0
9cad8ab8ce5b783e 2 4 1
a5cb9cabe8f94528 2 2 2
a8578a98c3d0624d 2 5 2
ceabb12eaa35978a 6 6 5
d3f936673af414c3 3 3 2
e15e928a3cde6583 3 6 2
e4f1d3e4f110d9ab 3 5 2
ecdda4a1d0da9f35 4 6 5
