# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
# board boards/board1.txt, max half-moves 60, A-won replays kept 25 of 32 (replay drift vs stored result: 12), entries 519, move conflicts 16
003bd0f1af581cf5 3 2 2
010ed678f39de8c4 0 3 0
0157b9a684506f90 2 6 2
01d7031dd2ac6a33 0 6 1
01e3b4a6c054ab2e 2 5 1
0262cb82fbcccc73 6 1 5
0289327205d8abfa 1 1 2
03e339fcfdf6da9c 1 4 1
041e35048dc2718e 1 5 0
044ef22aee7d8746 2 7 1
057d08e0b30e7e61 5 6 4
06be708c1891656b 1 4 2
07bf214f6dfe10a7 4 3 3
07ca8a2252d13997 4 6 3
08070c16bf8f331b 2 1 1
0944eb7ac6a6089a 1 3 0
098343506d78d280 3 6 2
0a49af60c263b2a5 1 1 0
0a825c6b13b4cf51 3 4 3
0b2cda1650a66dc6 2 4 2
0b73d463fcfabec7 1 3 2
0c0e68cc320048f3 2 0 2
0d2d300747d26c6b 2 3 3
0e3c84f107799cb9 7 6 6
0e940933087d4991 2 4 1
0ebf19ce61163bab 0 3 0
0fe846a78c44e757 2 4 1
10049479f52eb467 3 1 2
1013eae804ad9bc1 0 6 1
1021ded60f28dbd0 5 6 4
11b439a0f58d5407 7 6 6
12455d875c500d45 1 5 2
13df5700c218e398 3 3 2
152af952955ccaca 0 6 0
15725dc53c284faf 6 1 5
15fb5a3833491792 2 4 1
1675781b9b20240d 1 6 2
168e3d091779b281 2 3 1
1691b3c1ad102f44 1 6 0
17253ccb44ea6b5e 6 1 5
173131db302653da 0 2 0
1788917e83408af4 4 1 3
17971d38a9455a4c 5 1 4
17bb51b01af32959 3 6 2
17c81bc769c09f57 6 1 5
182854f7d4af7680 1 1 1
1848bec9c0f7612d 0 7 1
18904888acd97db1 1 5 2
196e47d5c08a990b 5 0 4
197d019777404c72 4 1 3
19c6b547258f9f9b 6 7 5
1a4e79547af4e323 3 6 2
1b4cbac3b207930e 2 4 1
1b7cee422130f1d8 1 3 0
1b8a923e93e1759f 2 4 1
1d10277e3a3f0e13 3 6 2
1d7ec3e1cbdb7bef 3 5 2
1e1b802ebec7cb48 1 2 0
