# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,2)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 6 of 8 (replay drift vs stored result: 3), entries 145, move conflicts 2
00074294fb7374d0 5 4 6
00fca8a7a8407275 3 3 2
056838ac3a468758 0 0 1
05982e1287f055ed 7 0 6
069418750584bc1e 2 2 2
0927f6b93ea4d23c 0 0 1
0b67675b4330d605 2 5 1
0d70f11c84a0d6b8 3 0 4
108963081b275e6e 4 1 3
13f5917df2d8cc82 3 6 4
17e7ec1f72389084 3 7 2
188f6ae8794a85d9 3 2 2
18e526eefac32dec 4 1 3
18f79a74d68e3094 5 6 4
1b178ed9db261a81 3 2 2
1d2b8316f491576e 3 0 2
1ee1c8ad36e8ba55 0 0 1
212b299dc9594adb 3 7 2
21786fab6073f50e 2 4 2
21cc9234b6c8f531 2 4 2
21db1a2079c8ac1c 0 3 1
23b4221a02dcdeee 1 1 2
27c24b01d3923878 1 4 0
2919e605331e7593 1 4 1
29e4c8055a16aefe 4 5 3
2a5849700a280cc8 1 1 1
2caf3de1eac9d583 6 1 5
2d1dc966d405e748 4 6 3
2db7d44c0f7ac6be 2 2 2
2ef68f35a3b2744d 1 3 0
3588f4053f611e00 5 1 4
3eacd14f477b1c97 0 5 1
3ed0c307cf62a0ab 4 2 3
40a2baa985e1f440 5 0 4
41b254850dbb4372 3 2 2
4612753130f6f106 4 2 3
4930b4e29fbf02d0 3 3 2
52877e312579d584 1 4 0
5332474a4f0d2307 3 6 4
548230f92e9ee13c 6 7 5
571ac0164dcade89 0 2 0
585ff15289426576 3 3 2
5868bf100e2c368d 5 1 4
5a45495db9d3c8dd 1 4 1
5a8d25e0d769fa9b 1 5 0
5e3536e0c2acb5b0 4 7 3
5ea60a5412e07a25 2 2 3
5f40c00be2d6b116 7 7 6
607f5a8b3e6e3701 4 6 3
65e490190144b725 2 3 3
698fb4b8d011cfe2 1 1 2
6ac1460f7899fe39 2 1 2
6c1c7047aad00cb6 2 3 1
73cabcebf36f249d 2 3 1
73da00f1d05ca685 6 2 6
74e08ae229ddd9e0 1 7 1
758bd516166beb5b 6 7 5
7686375709610ea3 2 5 1
77e3e93b3772a449 0 6 0
78a1ab175ec9635f 1 6 2
79db14afcdefbacd 2 6 2
7cf0a1bbeed3175a 6 1 5
7ee1d168377a1785 1 2 2
7f94b02a69279050 2 2 2
81087ffdd1989d57 1 5 2
8258cc54008e92bd 0 3 1
844ffe7376c64e8b 2 3 1
84ddfbeda92793f7 0 1 1
85587fb50f75c4df 4 4 3
856da07b13806b20 4 2 3
860fdbfdcaba2908 2 2 2
8ce5c5848b0d7c9f 6 2 5
910338a3ed684d34 0 5 0
91a0d8d744756d1e 2 0 1
93a3b812a6fddfdd 5 6 4
95e8eeb1adda8d74 2 2 2
967f963f9fdd813a 7 1 6
97f08cfb2526537a 6 1 5
9b8fc14a8073dc09 1 5 0
9c4451bfed68df60 3 6 2
9c9b9b514dc3ecb3 1 4 1
9e27fd15a77a7a47 2 1 1
9e2b919bff24bcc6 0 0 1
9eff02f485f099e2 2 5 1
a0ed48e55882b01d 2 1 1
a6f07ae41f0e3697 2 0 1
a75a8bef0b45363c 1 2 0
a898b42e4a3e3cee 4 1 3
a935dc409ee3d50b 3 2 2
ab426d63d303eb02 2 5 1
ab7a4e92aa42d07c 1 1 1
acf8805777aabcf8 1 2 2
ada70e3b04668adb 3 3 2
adbd01d402e09384 2 4 2
aec3f1f303cc68d6 1 6 2
b49fb4b38eef53e3 1 5 0
b6c76d112c791670 2 3 1
b77a63eab8c46b6c 3 1 2
b7a83db4a7e164a4 1 0 1
b7e3f7fe09c6b29a 2 3 1
ba8125fe2921d71a 2 3 3
bb7ab2ab0ad5d950 6 6 5
bd747e6f4fbedd9f 2 4 1
bdf944fa79050f9e 5 2 5
bf40ab4ff470dbbe 4 0 3
c703b5846763468e 1 4 1
ca64f864d59f236a 2 7 1
cacfee50708d0311 3 5 2
cb8cbcfff44b1312 5 3 5
cce57a0038e79ba8 5 5 4
cd1671026b7a381e 4 7 3
cda1a1c821f0cde6 5 6 4
cf7c4b8865d0b696 5 1 4
cf9e7c0de48f8336 2 7 3
cff3155710160f1d 1 2 2
d4dd67b6e070bf25 2 1 1
d516191dc17997e8 1 2 2
d7c27d66d60a029d 1 5 0
d8179e94f4e29d22 2 2 2
d89bfc85287cc1ac 0 1 1
daa614674a197e13 2 6 1
ddb33e3b7fd8bf33 3 0 4
de94f4f943c11d39 5 0 4
e30d90b6b6080ab3 4 2 3
e42ec40eb0802fa8 3 3 2
e4559b21cce7feb8 3 4 2
e5d3cf17c50f3e88 3 2 2
e743eb29261c48d0 1 2 2
e88feca7dc5b62cc 5 1 4
e89b25336b9cc5de 2 4 3
e93959f9ed5d964d 5 7 4
e9d66f5ae210e23b 2 3 1
ea369f358991c51a 6 0 6
eb589b78b19662bc 2 3 2
ed2567f603b74a4b 7 1 6
ede3790bbcfa5a5d 0 1 0
f12e27390d93a30a 4 1 3
f26f1fa406418100 0 7 1
f3397d70e0178bc5 2 4 1
f396d2b3d655b105 4 5 4
f3fe7592ed65f5c2 4 4 3
f9a8efb030aab926 1 4 2
fc4de5713dc12e5c 2 2 1
ff16b43b226194a6 2 3 1
ffb1f95aba12fa3e 7 0 6
