# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,2)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 7 of 8 (replay drift vs stored result: 1), entries 162, move conflicts 3
017b2b1d483f61c3 0 6 1
01cb45a0cde70ef8 3 2 3
01f6eb2a71e134a2 0 5 0
029434766535dd53 3 4 2
03cb337079bcb3c9 2 5 1
059f9dc2653f72a3 3 2 3
06ab6d05d11873ce 2 3 1
077e060ecbe5a74b 3 3 3
0a15c5f448dbcb75 2 6 1
0a2c0e0c5d840adb 3 1 3
0a400d5ce80cb1f4 3 1 2
0b53cd2a194472e0 3 7 2
12c4f4a944eb04fa 5 0 4
13b7a4ba508c4211 0 2 0
143b6f3a3678c829 1 2 0
177d4d353a4d33fc 3 3 3
19bc7ce3e8d17f2e 3 2 2
1a9532bc6069e6e1 3 4 2
1aba979fcc39cae0 1 1 1
1c7409edfab3ee0a 1 0 0
1d05acb32990268b 2 2 2
1e1dc885ddd3b9b9 3 5 2
1fb22a5d91c801c1 0 5 0
2393fea097c9cf88 1 4 0
2456eb7809fee61f 2 3 1
249bab316b5c1f7b 2 7 3
2cb41f5459e2cf02 4 5 3
2d2183c7ec38bb4d 2 7 1
2fc0c72d167d3419 1 3 0
3000a79489253902 3 2 3
3075b70d469b70cb 1 4 1
31f0558d5f9f05ab 3 4 2
33fd6fa986968bb9 1 7 0
349817d65fb67267 1 6 2
35d4432143074028 2 6 1
371bbed72e433e28 4 3 3
378153e94c9ec18a 5 0 4
3809e8ef80ac6db0 1 6 2
39ded6559078295b 1 5 2
3c1bd4d4c8495af2 1 4 0
3c4448d653fb36f7 5 1 4
3ca442028e018450 1 3 0
3d1f0a0097995a2e 2 3 1
3d6573242cf6e6b0 0 2 0
3e6c79aae92bcc25 2 4 1
4007dd61b2bf915c 2 1 1
4072063bfed0b160 2 5 2
42f78cb4b98c7653 1 4 0
43f0dd22c65b9d5d 2 0 3
44abfc110d19fe5f 1 2 0
458ba905d364b4b7 1 2 0
460de9283028f0b4 2 4 1
46844e2b11e9b9e9 1 1 2
4877fc34832a81d4 2 5 1
49877ad14d00580e 2 3 1
4d12c93fe1cb9806 1 4 0
4d6b859c7445b99b 0 7 0
569b2239a5f7d7a0 1 4 0
5a3288b2c525651a 6 7 5
5daf585175b2a3b9 4 5 3
5ebb837ce687bec9 0 2 0
5edca7620edddec0 4 2 3
602f249c86d8600c 4 2 3
607f5a8b3e6e3701 4 6 3
64e22248231dedda 2 0 2
66857c7d075cd049 1 7 0
670d9f339e9d53bc 2 3 1
67eb6dcdab97bd2d 0 1 0
6b10229dd0b4aa6d 2 6 1
6c30b359182f81cb 1 4 0
6c9b8ca18ccf386b 3 5 2
6ef6631d6f00b474 4 0 3
749a383596e86978 3 4 2
74abed32f723d986 0 6 1
774db2be8e9faee4 1 6 0
77e3e93b3772a449 3 6 2
7a262347f941604b 2 5 3
7cd297d92f5013fe 5 1 4
7cf18533719ba998 5 6 4
7deefef5b52ffb4e 0 1 1
7e30ea371d82d352 0 1 0
817d18048388fef2 3 3 2
826380b5e2c1a5bf 3 1 2
833905f1c7cb9dca 2 1 3
834f1917cdd7e250 3 5 2
83e5b84f1819f9a6 0 3 0
84a629738d26b379 0 2 0
851d087565dd5980 2 4 1
85e0f1a5ccaa7f09 4 0 3
89fffb6bc80573da 4 1 3
8a189ea6289d3f52 0 6 0
8c0d0287b3b6e630 0 3 0
8d437fab4c9780b8 1 3 0
8e244955418f033b 0 7 0
90af70a9e38f27b7 0 5 0
91e2d4642b2b18e9 4 1 3
984343555f3e8c5a 2 4 1
9a5649ae19dcfa54 2 5 1
9e9c5877c97b9629 2 5 1
9f1db838a7c80ba9 3 2 4
9f3a71b48ccf3096 1 2 0
a1e40da6d6cff941 5 2 4
a2f4fa93b99fd74e 3 7 3
a48f6e6882976914 0 0 1
a5b201c4210c6bb1 1 1 1
a6b25421d5e04da4 3 0 2
a6e7876984aa4ef7 2 0 2
a8785f100a62a5b2 4 0 3
ac8f49560258607a 1 6 2
b3307e6bc6d66859 0 5 1
b5796bb40654fb65 3 4 3
b77a63eab8c46b6c 6 1 5
b88a27a17fda87ee 0 3 0
b9a0e6999baf2030 5 0 4
b9f0b5b90d85e82f 1 2 0
bab594d9c439adae 3 1 3
bb3a7eed701dd843 0 0 1
bb9d6204c4774f46 2 6 2
bbaf3e6908d07708 1 4 0
