# Gumbel-Zero mlp/conv architecture sweep (round 6) opener-division follow-up: every non-REF rung=4000 checkpoint (45 mlp + 45 conv) wrapped with each of the 4 non-openless CHAMPION.md categories' openers.
# elo/games/cpu_ms_move columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification. gaz(...) is not category-eligible for a title (CHAMPION.md one-head rule) -- this ranks candidates for a possible future certification push, per division.
block	modeltype	category	elo	elo_pm	games	cpu_ms_move	full_agent_id
M1	mlp	4book	638	21	432	3.824	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=15)@1
M1	mlp	8book	612	22	432	3.975	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=16)@1
M1	mlp	4random	553	23	432	3.501	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=4)@1
M1	mlp	8random	437	27	432	2.698	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=8)@1
M2	mlp	4book	808	19	432	2.545	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M2	mlp	8book	777	19	432	2.595	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M2	mlp	4random	762	19	432	2.216	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M2	mlp	8random	678	20	432	1.725	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M3	mlp	4book	864	19	432	4.063	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=15)@1
M3	mlp	8book	844	19	432	4.096	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=16)@1
M3	mlp	4random	867	19	432	3.696	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=4)@1
M3	mlp	8random	760	19	432	2.985	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=8)@1
M4	mlp	4book	777	19	432	2.090	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M4	mlp	8book	814	19	432	2.000	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M4	mlp	4random	758	19	432	1.945	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
