# Gumbel-Zero mlp/conv architecture sweep (round 6) seed-replication follow-up: top 5 mlp blocks re-trained at 2 additional seeds each, same fixed cvisit/cscale/m per block.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_arch_seedcheck.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzarchseed_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzarchseed_pinned.md
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
M34	18944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	100	1770	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1770.txt	601	22	432	5.617	63-153	63-153	51	-1.6	48	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1770,998f6fbc,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1770,998f6fbc,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	18944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	400	1771	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1771.txt	785	19	432	5.270	116-100	89-127	50	-0.2	64	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1771,628cd577,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1771,628cd577,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	18944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	1500	1772	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1772.txt	869	19	432	5.179	131-85	116-100	52	0.1	70	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1772,3552f96d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1772,3552f96d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	18944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	4000	1773	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1773.txt	913	19	432	5.342	140-76	129-87	56	0.5	74	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1773,ff4fe415,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1773,ff4fe415,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	28944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	100	1774	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1774.txt	609	22	432	5.457	72-144	57-159	53	-1.0	49	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1774,cf1b5a80,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1774,cf1b5a80,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	28944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	400	1775	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1775.txt	794	19	432	5.248	112-104	97-119	53	-0.3	64	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1775,91fdeb3d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1775,91fdeb3d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	28944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	1500	1776	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1776.txt	905	19	432	4.983	124-92	141-75	49	0.4	74	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1776,c08d2673,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1776,c08d2673,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	28944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	4000	1777	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1777.txt	979	19	432	5.284	158-58	143-73	54	0.7	79	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	learned(model=1777,7ecc6c4d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1777,7ecc6c4d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M14	18924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	100	1778	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1778.txt	563	23	432	5.364	54-162	59-157	52	-1.3	45	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1778,a4c3433a,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1778,a4c3433a,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	18924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	400	1779	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1779.txt	756	19	432	5.079	94-122	97-119	55	-0.3	61	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	learned(model=1779,d95db042,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1779,d95db042,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
