# Gumbel-Zero mlp/conv architecture sweep (round 6) seed-replication follow-up: top 5 mlp blocks re-trained at 2 additional seeds each, same fixed cvisit/cscale/m per block.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Wide pivot of D:\Downloads\Zeph\Board Games\Breakthrough\plans\gumbel-mcts-arch-seedcheck-agents-6-silver-thistle.tsv: one row per {block, seed}, rung values spread into columns.
# Columns constant across a group's rung values are not suffixed; columns that vary are '<col>_rung<value>'.
# Generated by tools/export_cohort_results.ps1.
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	games	nodes_per_move	search_head_id	slot_rung100	slot_rung400	slot_rung1500	slot_rung4000	model_rung100	model_rung400	model_rung1500	model_rung4000	elo_rung100	elo_rung400	elo_rung1500	elo_rung4000	elo_pm_rung100	elo_pm_rung400	elo_pm_rung1500	elo_pm_rung4000	cpu_ms_move_rung100	cpu_ms_move_rung400	cpu_ms_move_rung1500	cpu_ms_move_rung4000	wl_as_white_rung100	wl_as_white_rung400	wl_as_white_rung1500	wl_as_white_rung4000	wl_as_black_rung100	wl_as_black_rung400	wl_as_black_rung1500	wl_as_black_rung4000	avg_plies_rung100	avg_plies_rung400	avg_plies_rung1500	avg_plies_rung4000	end_piece_margin_rung100	end_piece_margin_rung400	end_piece_margin_rung1500	end_piece_margin_rung4000	eff_elo_per_log2cpu_rung100	eff_elo_per_log2cpu_rung400	eff_elo_per_log2cpu_rung1500	eff_elo_per_log2cpu_rung4000	model_id_rung100	model_id_rung400	model_id_rung1500	model_id_rung4000	full_agent_id_rung100	full_agent_id_rung400	full_agent_id_rung1500	full_agent_id_rung4000
M34	18944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	432	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	1770	1771	1772	1773	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1770.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1771.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1772.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1773.txt	601	785	869	913	22	19	19	19	5.617	5.270	5.179	5.342	63-153	116-100	131-85	140-76	63-153	89-127	116-100	129-87	51	50	52	56	-1.6	-0.2	0.1	0.5	48	64	70	74	learned(model=1770,998f6fbc,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1771,628cd577,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1772,3552f96d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1773,ff4fe415,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1770,998f6fbc,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1771,628cd577,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1772,3552f96d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1773,ff4fe415,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M34	28944	mlp	32	500	0.01	0	8000	128	128	8	800	70	20	432	0	gaz(sims=500,cvisit=800,cscale=70,m=20)@1	1774	1775	1776	1777	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1774.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1775.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1776.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1777.txt	609	794	905	979	22	19	19	19	5.457	5.248	4.983	5.284	72-144	112-104	124-92	158-58	57-159	97-119	141-75	143-73	53	53	49	54	-1.0	-0.3	0.4	0.7	49	64	74	79	learned(model=1774,cf1b5a80,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1775,91fdeb3d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1776,c08d2673,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1777,7ecc6c4d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1774,cf1b5a80,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1775,91fdeb3d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1776,c08d2673,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=20)@1.learned(model=1777,7ecc6c4d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M14	18924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	432	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	1778	1779	1780	1781	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1778.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1779.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1780.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1781.txt	563	756	881	939	23	19	19	19	5.364	5.079	5.226	5.052	54-162	94-122	135-81	133-83	59-157	97-119	118-98	149-67	52	55	54	55	-1.3	-0.3	0.4	0.4	45	61	71	76	learned(model=1778,a4c3433a,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	learned(model=1779,d95db042,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	learned(model=1780,b18d4de5,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	learned(model=1781,5c0320cd,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1778,a4c3433a,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1779,d95db042,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1780,b18d4de5,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1781,5c0320cd,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M14	28924	mlp	64	300	0.01	0	8000	128	128	8	600	100	12	432	0	gaz(sims=300,cvisit=600,cscale=100,m=12)@1	1782	1783	1784	1785	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1782.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1783.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1784.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1785.txt	609	724	911	925	22	20	19	19	5.229	5.234	5.054	5.355	62-154	100-116	133-83	142-74	67-149	76-140	135-81	133-83	51	51	51	57	-1.0	-0.1	0.3	0.6	49	59	74	75	learned(model=1782,3034c323,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	learned(model=1783,00bf1839,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	learned(model=1784,4ac5d34c,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	learned(model=1785,1e0f3d79,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1782,3034c323,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1783,00bf1839,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1784,4ac5d34c,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1785,1e0f3d79,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
M39	18949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	432	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	1786	1787	1788	1789	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1786.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1787.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1788.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1789.txt	517	697	830	862	24	20	19	19	5.314	4.918	5.263	5.234	41-175	79-137	83-133	110-106	58-158	85-131	144-72	133-83	43	47	58	56	-1.6	-0.9	0.8	0.3	42	57	67	70	learned(model=1786,eb831e88,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1787,ee389e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1788,cad28564,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1789,d56d709d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1786,eb831e88,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1787,ee389e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1788,cad28564,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1789,d56d709d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	28949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	432	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	1790	1791	1792	1793	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1790.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1791.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1792.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1793.txt	589	687	719	775	22	20	20	19	4.946	5.027	5.107	4.918	56-160	70-146	107-109	104-112	66-150	90-126	67-149	96-120	47	46	53	54	-1.4	-1.2	0.2	0.4	48	56	58	63	learned(model=1790,86ee1c4c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1791,55c6e4db,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1792,473ae692,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1793,24682a16,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1790,86ee1c4c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1791,55c6e4db,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1792,473ae692,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1793,24682a16,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M10	18920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	432	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	1794	1795	1796	1797	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1794.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1795.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1796.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1797.txt	581	735	917	939	23	19	19	19	21.804	21.915	22.314	22.284	64-152	104-112	129-87	138-78	55-161	77-139	142-74	144-72	53	52	51	55	-1.2	0.1	1.0	0.7	40	51	63	65	learned(model=1794,f73f335f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1795,a75ba58e,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1796,dde509d7,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1797,0707ec7f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1794,f73f335f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1795,a75ba58e,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1796,dde509d7,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1797,0707ec7f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	28920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	432	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	1798	1799	1800	1801	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1798.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1799.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1800.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1801.txt	592	800	897	905	22	19	19	19	23.113	22.038	22.811	21.874	68-148	111-105	136-80	128-88	55-161	101-115	125-91	137-79	50	48	54	58	-1.1	-0.5	0.9	0.6	41	55	62	63	learned(model=1798,ea4de195,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1799,3ebefabf,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1800,02f5d87d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1801,93ebc3ad,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1798,ea4de195,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1799,3ebefabf,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1800,02f5d87d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1801,93ebc3ad,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M31	18941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	432	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	1802	1803	1804	1805	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1802.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1803.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1804.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1805.txt	560	826	812	895	23	19	19	19	3.442	3.365	3.074	3.019	57-159	97-119	87-129	123-93	55-161	128-88	131-85	137-79	52	53	55	56	-2.3	0.0	0.4	0.1	48	70	70	77	learned(model=1802,7ca96ecd,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1803,96370d84,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1804,d42c065d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1805,fa50ea5b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1802,7ca96ecd,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1803,96370d84,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1804,d42c065d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1805,fa50ea5b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	28941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	432	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	1806	1807	1808	1809	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1806.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1807.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1808.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1809.txt	503	690	871	956	25	20	19	19	3.273	3.325	2.996	2.935	50-166	84-132	123-93	141-75	45-171	77-139	125-91	149-67	50	52	53	59	-1.9	-0.6	0.8	1.0	43	59	75	83	learned(model=1806,c866b51a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1807,15322435,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1808,dcf12e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1809,386cec96,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1806,c866b51a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1807,15322435,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1808,dcf12e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1809,386cec96,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
