# Gumbel-Zero mlp/conv architecture sweep, follow-up round to plans/gumbel-mcts-results-5-violet-harbor.md (linear only). One row per checkpoint.
# modeltype/arch columns are the drawn --model-type and --mlp-hidden (mlp)/--conv-channels (conv) values. conv's own FC head (--mlp-hidden) is fixed empty this round, not swept.
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them, same as results-5.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_arch_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzarch_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzarch_pinned.md
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
REF_MLP	8901	mlp	32	300	0.01	0	2000	32	32	4	600	70	16	100	1402	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1402.txt	658	15	864	2.800	142-290	156-276	49	-1.0	57	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1402,2ca5ebc3,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1402,2ca5ebc3,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
REF_MLP	8901	mlp	32	300	0.01	0	2000	32	32	4	600	70	16	400	1403	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1403.txt	781	13	864	2.765	186-246	220-212	48	0.5	68	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1403,75fc616a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1403,75fc616a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
REF_MLP	8901	mlp	32	300	0.01	0	2000	32	32	4	600	70	16	1500	1404	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1404.txt	797	13	864	2.695	202-230	220-212	55	0.2	70	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1404,f255cad2,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1404,f255cad2,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
REF_MLP	8901	mlp	32	300	0.01	0	2000	32	32	4	600	70	16	4000	1405	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1405.txt	897	13	864	2.710	298-134	222-210	57	0.8	79	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1405,d99949a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1405,d99949a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
REF_CONV	8902	conv	16,16	300	0.01	0	2000	32	32	4	600	70	16	100	1406	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1406.txt	633	15	864	34.344	166-266	112-320	46	-0.8	42	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1406,41c09d70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1406,41c09d70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
REF_CONV	8902	conv	16,16	300	0.01	0	2000	32	32	4	600	70	16	400	1407	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1407.txt	716	14	864	34.539	194-238	152-280	49	-0.3	47	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1407,02f9d041,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1407,02f9d041,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
REF_CONV	8902	conv	16,16	300	0.01	0	2000	32	32	4	600	70	16	1500	1408	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1408.txt	695	14	864	34.881	156-276	172-260	48	-0.3	46	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1408,aa2d0af3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1408,aa2d0af3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
REF_CONV	8902	conv	16,16	300	0.01	0	2000	32	32	4	600	70	16	4000	1409	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1409.txt	731	14	864	35.099	152-280	208-224	49	-0.2	48	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1409,87c1b538,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1409,87c1b538,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
M1	8911	mlp	32	300	0.01	0.001	500	16	8	0	400	130	8	100	1410	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1410.txt	537	24	432	2.891	47-169	58-158	43	-1.3	47	0	gaz(sims=300,cvisit=400,cscale=130,m=8)@1	learned(model=1410,78b3ba18,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1410,78b3ba18,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M1	8911	mlp	32	300	0.01	0.001	500	16	8	0	400	130	8	400	1411	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1411.txt	659	21	432	3.179	64-152	84-132	48	-0.9	57	0	gaz(sims=300,cvisit=400,cscale=130,m=8)@1	learned(model=1411,1fe3d9df,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1411,1fe3d9df,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
