# Gumbel-Zero mlp/conv architecture sweep, follow-up round to plans/gumbel-mcts-results-5-violet-harbor.md (linear only). One row per checkpoint.
# modeltype/arch columns are the drawn --model-type and --mlp-hidden (mlp)/--conv-channels (conv) values. conv's own FC head (--mlp-hidden) is fixed empty this round, not swept.
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them, same as results-5.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification.
# Wide pivot of D:\Downloads\Zeph\Board Games\Breakthrough\plans\gumbel-mcts-arch-sweep-agents-6-silver-thistle.tsv: one row per {block, seed}, rung values spread into columns.
# Columns constant across a group's rung values are not suffixed; columns that vary are '<col>_rung<value>'.
# Generated by tools/export_cohort_results.ps1.
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	games	nodes_per_move	search_head_id	slot_rung100	slot_rung400	slot_rung1500	slot_rung4000	model_rung100	model_rung400	model_rung1500	model_rung4000	elo_rung100	elo_rung400	elo_rung1500	elo_rung4000	elo_pm_rung100	elo_pm_rung400	elo_pm_rung1500	elo_pm_rung4000	cpu_ms_move_rung100	cpu_ms_move_rung400	cpu_ms_move_rung1500	cpu_ms_move_rung4000	wl_as_white_rung100	wl_as_white_rung400	wl_as_white_rung1500	wl_as_white_rung4000	wl_as_black_rung100	wl_as_black_rung400	wl_as_black_rung1500	wl_as_black_rung4000	avg_plies_rung100	avg_plies_rung400	avg_plies_rung1500	avg_plies_rung4000	end_piece_margin_rung100	end_piece_margin_rung400	end_piece_margin_rung1500	end_piece_margin_rung4000	eff_elo_per_log2cpu_rung100	eff_elo_per_log2cpu_rung400	eff_elo_per_log2cpu_rung1500	eff_elo_per_log2cpu_rung4000	model_id_rung100	model_id_rung400	model_id_rung1500	model_id_rung4000	full_agent_id_rung100	full_agent_id_rung400	full_agent_id_rung1500	full_agent_id_rung4000
REF_MLP	8901	mlp	32	300	0.01	0	2000	32	32	4	600	70	16	864	0	gaz(sims=300,cvisit=600,cscale=70)@1	1402	1403	1404	1405	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1402.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1403.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1404.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1405.txt	658	781	797	897	15	13	13	13	2.800	2.765	2.695	2.710	142-290	186-246	202-230	298-134	156-276	220-212	220-212	222-210	49	48	55	57	-1.0	0.5	0.2	0.8	57	68	70	79	learned(model=1402,2ca5ebc3,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1403,75fc616a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1404,f255cad2,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1405,d99949a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1402,2ca5ebc3,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1403,75fc616a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1404,f255cad2,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1405,d99949a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
REF_CONV	8902	conv	16,16	300	0.01	0	2000	32	32	4	600	70	16	864	0	gaz(sims=300,cvisit=600,cscale=70)@1	1406	1407	1408	1409	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1406.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1407.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1408.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1409.txt	633	716	695	731	15	14	14	14	34.344	34.539	34.881	35.099	166-266	194-238	156-276	152-280	112-320	152-280	172-260	208-224	46	49	48	49	-0.8	-0.3	-0.3	-0.2	42	47	46	48	learned(model=1406,41c09d70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1407,02f9d041,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1408,aa2d0af3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1409,87c1b538,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1406,41c09d70,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1407,02f9d041,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1408,aa2d0af3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1409,87c1b538,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
M1	8911	mlp	32	300	0.01	0.001	500	16	8	0	400	130	8	432	0	gaz(sims=300,cvisit=400,cscale=130,m=8)@1	1410	1411	1412	1413	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1410.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1411.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1412.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1413.txt	537	659	636	615	24	21	21	22	2.891	3.179	3.877	3.962	47-169	64-152	75-141	56-160	58-158	84-132	64-152	75-141	43	48	46	48	-1.3	-0.9	-0.8	-1.1	47	57	53	51	learned(model=1410,78b3ba18,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1411,1fe3d9df,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1412,b75455d8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1410,78b3ba18,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1411,1fe3d9df,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1412,b75455d8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=8)@1.learned(model=1413,46d7f028,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M2	8912	mlp	16	300	0.01	0.0003	8000	128	32	8	400	100	8	432	0	gaz(sims=300,cvisit=400,cscale=100,m=8)@1	1414	1415	1416	1417	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1414.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1415.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1416.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1417.txt	628	758	822	783	21	19	19	19	2.306	2.097	2.418	2.542	59-157	93-123	109-107	103-113	77-139	99-117	114-102	101-115	50	48	48	55	-0.9	-0.5	0.9	0.1	56	69	73	69	learned(model=1414,86283f5c,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1415,748a0d7a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1416,ff6ec358,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1414,86283f5c,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1415,748a0d7a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1416,ff6ec358,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=400,cscale=100,m=8)@1.learned(model=1417,ee1f2e3b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M3	8913	mlp	32	400	0.003	0	2000	32	32	8	600	100	16	432	0	gaz(sims=400,cvisit=600,cscale=100)@1	1418	1419	1420	1421	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1418.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1419.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1420.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1421.txt	534	798	798	834	24	19	19	19	4.116	4.079	4.169	4.126	57-159	111-105	121-95	111-105	47-169	100-116	90-126	118-98	49	49	56	58	-1.4	-0.2	0.4	0.1	44	66	66	69	learned(model=1418,97a2b781,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1419,6bee78c6,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1420,6a9214eb,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1418,97a2b781,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1419,6bee78c6,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1420,6a9214eb,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=600,cscale=100)@1.learned(model=1421,39543436,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M4	8914	mlp	16	300	0.003	0.0003	500	16	8	0	600	70	12	432	0	gaz(sims=300,cvisit=600,cscale=70,m=12)@1	1422	1423	1424	1425	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1422.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1423.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1424.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1425.txt	572	615	699	814	23	22	20	19	1.959	1.967	1.955	1.974	58-158	74-142	84-132	106-110	58-158	57-159	81-135	113-103	43	44	48	51	-1.3	-1.3	-0.2	0.1	52	56	64	74	learned(model=1422,469c1f8a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1423,2024feb2,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1424,7e114207,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1422,469c1f8a,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1423,2024feb2,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1424,7e114207,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=300,cvisit=600,cscale=70,m=12)@1.learned(model=1425,e9871d6b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M5	8915	mlp	64,32	300	0.03	0.0003	500	16	8	4	400	40	12	432	0	gaz(sims=300,cvisit=400,cscale=40,m=12)@1	1426	1427	1428	1429	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1426.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1427.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1428.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1429.txt	544	651	631	612	24	21	21	22	13.335	13.476	13.609	13.705	63-153	81-135	68-148	58-158	44-172	64-152	69-147	72-144	44	46	44	44	-1.5	-0.7	-1.2	-1.3	40	47	46	45	learned(model=1426,ec9d066d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1427,505af8d6,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1428,a1e767a8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	learned(model=1429,ae02766a,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1426,ec9d066d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1427,505af8d6,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1428,a1e767a8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=300,cvisit=400,cscale=40,m=12)@1.learned(model=1429,ae02766a,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M6	8916	mlp	32	400	0.003	0	2000	32	32	8	400	70	8	432	0	gaz(sims=400,cvisit=400,cscale=70,m=8)@1	1430	1431	1432	1433	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1430.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1431.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1432.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1433.txt	514	769	765	883	25	19	19	19	4.042	4.088	4.297	4.205	47-169	96-120	92-124	126-90	51-165	101-115	103-113	128-88	45	50	57	56	-1.2	0.7	-0.1	0.6	43	64	63	73	learned(model=1430,0cc5799b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1431,95616023,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1432,898fa646,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1433,6e10458a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1430,0cc5799b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1431,95616023,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1432,898fa646,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1433,6e10458a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M7	8917	mlp	32	400	0.01	0.001	2000	32	8	4	400	40	12	432	0	gaz(sims=400,cvisit=400,cscale=40,m=12)@1	1434	1435	1436	1437	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1434.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1435.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1436.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1437.txt	592	710	694	557	22	20	20	23	3.997	4.063	4.753	4.872	75-141	92-124	83-133	45-171	48-168	78-138	80-136	66-150	44	47	47	51	-1.2	-0.7	-0.6	-0.3	50	59	57	45	learned(model=1434,df547c9c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1435,ba4ab571,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1436,9dd1c761,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	learned(model=1437,bf4f1200,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1434,df547c9c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1435,ba4ab571,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1436,9dd1c761,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1437,bf4f1200,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M8	8918	mlp	16	500	0.003	0	2000	32	128	4	800	100	20	432	0	gaz(sims=500,cvisit=800,cscale=100,m=20)@1	1438	1439	1440	1441	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1438.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1439.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1440.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1441.txt	715	719	832	818	20	20	19	19	3.537	3.560	3.557	3.514	83-133	96-120	83-133	118-98	89-127	78-138	145-71	103-113	49	49	53	58	-0.7	0.1	0.6	0.3	61	61	71	69	learned(model=1438,1609ba2d,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1439,b5ebeb15,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1440,88752640,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1438,1609ba2d,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1439,b5ebeb15,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1440,88752640,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
