# Gumbel-Zero mlp/conv architecture sweep (round 6) conv-capacity follow-up: C15's exact recipe (round 6's best conv checkpoint, 806 Elo) crossed with FC head {none,32} x policy head {linear,mlp} x 3 seeds.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_conv_capacity.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzconvcap_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzconvcap_pinned.md
block	seed	modeltype	convchannels	mlphidden	policymlp	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
conv_noFC_linPolicy	8975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	100	1810	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1810.txt	563	23	432	72.497	47-169	66-150	45	-0.9	35	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1810,95800acf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1810,95800acf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	8975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	400	1811	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1811.txt	641	21	432	72.538	65-151	76-140	47	-1.0	40	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1811,1cfc8b35,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1811,1cfc8b35,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	8975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	1500	1812	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1812.txt	804	19	432	73.553	87-129	127-89	51	0.3	50	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1812,895e41b0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1812,895e41b0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	8975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	4000	1813	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1813.txt	791	19	432	74.182	121-95	87-129	50	0.2	49	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1813,7a82b465,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1813,7a82b465,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	18975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	100	1814	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1814.txt	553	23	432	71.326	70-146	40-176	45	-0.9	34	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1814,2a27d229,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1814,2a27d229,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	18975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	400	1815	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1815.txt	609	22	432	72.501	51-165	78-138	49	-1.1	38	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1815,d36ede85,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1815,d36ede85,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	18975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	1500	1816	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1816.txt	728	20	432	74.090	93-123	85-131	56	0.3	45	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1816,a58329d9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1816,a58329d9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	18975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	4000	1817	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1817.txt	765	19	432	73.530	91-125	104-112	53	0.1	47	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1817,1895052f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1817,1895052f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	28975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	100	1818	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1818.txt	553	23	432	72.707	47-169	63-153	45	-0.9	34	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1818,891326da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1818,891326da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	28975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	400	1819	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1819.txt	406	28	432	71.963	35-181	36-180	49	-1.3	25	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1819,e55d222e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1819,e55d222e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	28975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	1500	1820	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1820.txt	775	19	432	73.978	87-129	113-103	50	0.2	48	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1820,b2c50af5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1820,b2c50af5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
