# Gumbel-Zero mlp/conv architecture sweep (round 6) conv-capacity follow-up: C15's exact recipe (round 6's best conv checkpoint, 806 Elo) crossed with FC head {none,32} x policy head {linear,mlp} x 3 seeds.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Wide pivot of D:\Downloads\Zeph\Board Games\Breakthrough\plans\gumbel-mcts-conv-capacity-agents-6-silver-thistle.tsv: one row per {block, seed}, rung values spread into columns.
# Columns constant across a group's rung values are not suffixed; columns that vary are '<col>_rung<value>'.
# Generated by tools/export_cohort_results.ps1.
block	seed	modeltype	convchannels	mlphidden	policymlp	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	games	nodes_per_move	search_head_id	slot_rung100	slot_rung400	slot_rung1500	slot_rung4000	model_rung100	model_rung400	model_rung1500	model_rung4000	elo_rung100	elo_rung400	elo_rung1500	elo_rung4000	elo_pm_rung100	elo_pm_rung400	elo_pm_rung1500	elo_pm_rung4000	cpu_ms_move_rung100	cpu_ms_move_rung400	cpu_ms_move_rung1500	cpu_ms_move_rung4000	wl_as_white_rung100	wl_as_white_rung400	wl_as_white_rung1500	wl_as_white_rung4000	wl_as_black_rung100	wl_as_black_rung400	wl_as_black_rung1500	wl_as_black_rung4000	avg_plies_rung100	avg_plies_rung400	avg_plies_rung1500	avg_plies_rung4000	end_piece_margin_rung100	end_piece_margin_rung400	end_piece_margin_rung1500	end_piece_margin_rung4000	eff_elo_per_log2cpu_rung100	eff_elo_per_log2cpu_rung400	eff_elo_per_log2cpu_rung1500	eff_elo_per_log2cpu_rung4000	model_id_rung100	model_id_rung400	model_id_rung1500	model_id_rung4000	full_agent_id_rung100	full_agent_id_rung400	full_agent_id_rung1500	full_agent_id_rung4000
conv_noFC_linPolicy	8975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1810	1811	1812	1813	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1810.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1811.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1812.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1813.txt	563	641	804	791	23	21	19	19	72.497	72.538	73.553	74.182	47-169	65-151	87-129	121-95	66-150	76-140	127-89	87-129	45	47	51	50	-0.9	-1.0	0.3	0.2	35	40	50	49	learned(model=1810,95800acf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1811,1cfc8b35,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1812,895e41b0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1813,7a82b465,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1810,95800acf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1811,1cfc8b35,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1812,895e41b0,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1813,7a82b465,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	18975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1814	1815	1816	1817	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1814.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1815.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1816.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1817.txt	553	609	728	765	23	22	20	19	71.326	72.501	74.090	73.530	70-146	51-165	93-123	91-125	40-176	78-138	85-131	104-112	45	49	56	53	-0.9	-1.1	0.3	0.1	34	38	45	47	learned(model=1814,2a27d229,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1815,d36ede85,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1816,a58329d9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1817,1895052f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1814,2a27d229,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1815,d36ede85,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1816,a58329d9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1817,1895052f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_linPolicy	28975	conv	16,16,16		False	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1818	1819	1820	1821	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1818.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1819.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1820.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1821.txt	553	406	775	690	23	28	19	20	72.707	71.963	73.978	74.524	47-169	35-181	87-129	78-138	63-153	36-180	113-103	83-133	45	49	50	52	-0.9	-1.3	0.2	0.3	34	25	48	43	learned(model=1818,891326da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1819,e55d222e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1820,b2c50af5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1821,9d566689,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1818,891326da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1819,e55d222e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1820,b2c50af5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1821,9d566689,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_noFC_mlpPolicy	8975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1822	1823	1824	1825	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1822.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1823.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1824.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1825.txt	569	699	765	796	23	20	19	19	74.003	72.304	74.665	73.701	47-169	91-125	91-125	103-113	68-148	74-142	104-112	107-109	44	49	56	51	-1.3	-0.8	-0.3	-0.4	35	43	47	49	learned(model=1822,d68b6ee0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1823,1cf769bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1824,abefb0b8,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1825,b7f02a50,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1822,d68b6ee0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1823,1cf769bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1824,abefb0b8,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1825,b7f02a50,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	18975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1826	1827	1828	1829	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1826.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1827.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1828.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1829.txt	631	623	812	842	21	22	19	19	73.889	74.251	74.391	74.265	69-147	65-151	107-109	120-96	68-148	69-147	111-105	113-103	46	52	51	53	-1.6	-0.7	-0.3	-0.5	39	38	50	52	learned(model=1826,964af68c,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1827,4b1f3332,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1828,a464277f,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1829,47bfe73b,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1826,964af68c,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1827,4b1f3332,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1828,a464277f,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1829,47bfe73b,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	28975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1830	1831	1832	1833	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1830.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1831.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1832.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1833.txt	625	503	844	804	21	25	19	19	73.777	72.005	72.331	73.815	61-155	46-170	118-98	126-90	74-142	49-167	116-100	88-128	46	49	52	51	-1.8	-1.4	-0.4	-0.6	39	31	52	50	learned(model=1830,2a1d80f4,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1831,e0844fe5,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1832,099d0ebc,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1833,75d4eaf0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1830,2a1d80f4,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1831,e0844fe5,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1832,099d0ebc,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1833,75d4eaf0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_fc32_linPolicy	8975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1834	1835	1836	1837	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1834.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1835.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1836.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1837.txt	617	638	781	873	22	21	19	19	78.622	77.731	79.599	79.102	53-163	55-161	82-134	142-74	79-137	85-131	121-95	107-109	46	45	57	50	-1.0	-1.0	0.6	-0.0	38	39	48	54	learned(model=1834,7067283f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1835,ed658729,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1836,b2a3dc77,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1837,0b1a0f1a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1834,7067283f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1835,ed658729,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1836,b2a3dc77,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1837,0b1a0f1a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	18975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1838	1839	1840	1841	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1838.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1839.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1840.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1841.txt	572	704	810	783	23	20	19	19	77.841	77.940	79.368	79.206	72-144	91-125	103-113	108-108	44-172	76-140	114-102	96-120	42	49	50	58	-0.9	-0.4	0.3	0.4	35	43	50	48	learned(model=1838,7d032ec4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1839,a7aa7d54,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1840,866ed813,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1841,c24f03a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1838,7d032ec4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1839,a7aa7d54,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1840,866ed813,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1841,c24f03a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	28975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1842	1843	1844	1845	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1842.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1843.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1844.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1845.txt	609	631	656	806	22	21	21	19	78.606	78.200	78.326	79.226	76-140	61-155	70-146	85-131	53-163	76-140	77-139	130-86	44	49	49	48	-0.7	-0.8	-0.4	-0.2	37	39	40	50	learned(model=1842,f9c83c5a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1843,55b541da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1844,1b6b2e5e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1845,d687fe09,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1842,f9c83c5a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1843,55b541da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1844,1b6b2e5e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1845,d687fe09,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_mlpPolicy	8975	conv	16,16,16	32	True	300	0.003	0	500	16	8	0	400	70	16	432	0	gaz(sims=300,cvisit=400,cscale=70)@1	1846	1847	1848	1849	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1846.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1847.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1848.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1849.txt	663	748	977	1003	21	19	19	20	77.147	77.341	81.148	80.273	79-137	97-119	153-63	155-61	71-145	90-126	147-69	157-59	44	46	52	51	-1.2	-1.0	0.1	0.7	41	46	60	62	learned(model=1846,27b96c26,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1847,1df65774,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1848,28b89490,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	learned(model=1849,a1dea895,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1846,27b96c26,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1847,1df65774,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1848,28b89490,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1849,a1dea895,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
