# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_joint_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzjoint_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzjoint_pinned.md
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
REF	8801	300	0.01	0	2000	32	32	4	600	70	16	100	998	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot998.txt	598	22	432	0.881	57-159	68-148	47	-0.3	61	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=998,e751757e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=998,e751757e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
REF	8801	300	0.01	0	2000	32	32	4	600	70	16	400	999	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot999.txt	663	21	432	0.868	73-143	77-139	47	-0.2	68	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=999,4edbc9ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=999,4edbc9ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
REF	8801	300	0.01	0	2000	32	32	4	600	70	16	1500	1000	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1000.txt	649	21	432	0.810	88-128	56-160	52	-0.2	67	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1000,5172c463,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1000,5172c463,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
REF	8801	300	0.01	0	2000	32	32	4	600	70	16	4000	1001	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1001.txt	692	20	432	0.913	85-131	77-139	48	0.5	70	0	gaz(sims=300,cvisit=600,cscale=70)@1	learned(model=1001,139915fe,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1001,139915fe,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R1	8801	500	0.03	0.0003	8000	128	128	8	600	130	20	100	1002	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1002.txt	578	23	432	2.138	71-145	47-169	51	-0.0	52	0	gaz(sims=500,cvisit=600,cscale=130,m=20)@1	learned(model=1002,352e6419,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1002,352e6419,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R1	8801	500	0.03	0.0003	8000	128	128	8	600	130	20	400	1003	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1003.txt	701	20	432	1.759	92-124	74-142	49	0.0	65	0	gaz(sims=500,cvisit=600,cscale=130,m=20)@1	learned(model=1003,9aad4d8e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1003,9aad4d8e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R1	8801	500	0.03	0.0003	8000	128	128	8	600	130	20	1500	1004	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1004.txt	673	20	432	1.638	86-130	68-148	48	-0.2	63	0	gaz(sims=500,cvisit=600,cscale=130,m=20)@1	learned(model=1004,fc5718f8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1004,fc5718f8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R1	8801	500	0.03	0.0003	8000	128	128	8	600	130	20	4000	1005	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1005.txt	572	23	432	1.600	73-143	43-173	46	-0.7	54	0	gaz(sims=500,cvisit=600,cscale=130,m=20)@1	learned(model=1005,c6638ff2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1005,c6638ff2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R2	8802	300	0.003	0.001	2000	32	32	4	600	40	16	100	1006	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1006.txt	528	24	432	0.871	59-157	43-173	40	-1.2	54	0	gaz(sims=300,cvisit=600,cscale=40)@1	learned(model=1006,938870e6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1006,938870e6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R2	8802	300	0.003	0.001	2000	32	32	4	600	40	16	400	1007	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1007.txt	581	23	432	0.738	66-150	53-163	44	-0.7	61	0	gaz(sims=300,cvisit=600,cscale=40)@1	learned(model=1007,bc586785,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1007,bc586785,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
