# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Wide pivot of D:\Downloads\Zeph\Board Games\Breakthrough\plans\gumbel-mcts-joint-sweep-agents-5-violet-harbor.tsv: one row per {block, seed}, rung values spread into columns.
# Columns constant across a group's rung values are not suffixed; columns that vary are '<col>_rung<value>'.
# Generated by tools/export_cohort_results.ps1.
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	games	nodes_per_move	search_head_id	slot_rung100	slot_rung400	slot_rung1500	slot_rung4000	model_rung100	model_rung400	model_rung1500	model_rung4000	elo_rung100	elo_rung400	elo_rung1500	elo_rung4000	elo_pm_rung100	elo_pm_rung400	elo_pm_rung1500	elo_pm_rung4000	cpu_ms_move_rung100	cpu_ms_move_rung400	cpu_ms_move_rung1500	cpu_ms_move_rung4000	wl_as_white_rung100	wl_as_white_rung400	wl_as_white_rung1500	wl_as_white_rung4000	wl_as_black_rung100	wl_as_black_rung400	wl_as_black_rung1500	wl_as_black_rung4000	avg_plies_rung100	avg_plies_rung400	avg_plies_rung1500	avg_plies_rung4000	end_piece_margin_rung100	end_piece_margin_rung400	end_piece_margin_rung1500	end_piece_margin_rung4000	eff_elo_per_log2cpu_rung100	eff_elo_per_log2cpu_rung400	eff_elo_per_log2cpu_rung1500	eff_elo_per_log2cpu_rung4000	model_id_rung100	model_id_rung400	model_id_rung1500	model_id_rung4000	full_agent_id_rung100	full_agent_id_rung400	full_agent_id_rung1500	full_agent_id_rung4000
REF	8801	300	0.01	0	2000	32	32	4	600	70	16	432	0	gaz(sims=300,cvisit=600,cscale=70)@1	998	999	1000	1001	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot998.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot999.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1000.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1001.txt	598	663	649	692	22	21	21	20	0.881	0.868	0.810	0.913	57-159	73-143	88-128	85-131	68-148	77-139	56-160	77-139	47	47	52	48	-0.3	-0.2	-0.2	0.5	61	68	67	70	learned(model=998,e751757e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=999,4edbc9ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1000,5172c463,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1001,139915fe,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=998,e751757e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=999,4edbc9ea,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1000,5172c463,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=70)@1.learned(model=1001,139915fe,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R1	8801	500	0.03	0.0003	8000	128	128	8	600	130	20	432	0	gaz(sims=500,cvisit=600,cscale=130,m=20)@1	1002	1003	1004	1005	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1002.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1003.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1004.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1005.txt	578	701	673	572	23	20	20	23	2.138	1.759	1.638	1.600	71-145	92-124	86-130	73-143	47-169	74-142	68-148	43-173	51	49	48	46	-0.0	0.0	-0.2	-0.7	52	65	63	54	learned(model=1002,352e6419,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1003,9aad4d8e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1004,fc5718f8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1005,c6638ff2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1002,352e6419,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1003,9aad4d8e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1004,fc5718f8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=130,m=20)@1.learned(model=1005,c6638ff2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R2	8802	300	0.003	0.001	2000	32	32	4	600	40	16	432	0	gaz(sims=300,cvisit=600,cscale=40)@1	1006	1007	1008	1009	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1006.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1007.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1008.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1009.txt	528	581	572	581	24	23	23	23	0.871	0.738	0.682	0.776	59-157	66-150	61-155	69-147	43-173	53-163	55-161	50-166	40	44	41	44	-1.2	-0.7	-0.7	-1.1	54	61	61	60	learned(model=1006,938870e6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1007,bc586785,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1008,aec821ee,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1009,cb7ebdc4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1006,938870e6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1007,bc586785,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1008,aec821ee,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=600,cscale=40)@1.learned(model=1009,cb7ebdc4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R3	8803	300	0.01	0.001	2000	32	8	0	1000	70	12	432	0	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1	1010	1011	1012	1013	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1010.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1011.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1012.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1013.txt	557	531	489	466	23	24	25	26	0.903	0.995	1.039	0.956	54-162	54-162	39-177	34-182	57-159	49-167	52-164	51-165	40	44	44	43	-1.2	-1.2	-0.8	-0.9	57	53	49	47	learned(model=1010,38ffec50,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1011,460b3486,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1012,a5c32473,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1013,7271997d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1010,38ffec50,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1011,460b3486,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1012,a5c32473,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=12)@1.learned(model=1013,7271997d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R4	8804	500	0.03	0	8000	128	128	8	400	70	20	432	0	gaz(sims=500,cvisit=400,cscale=70,m=20)@1	1014	1015	1016	1017	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1014.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1015.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1016.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1017.txt	671	777	733	701	20	19	19	20	2.017	1.879	1.635	1.495	78-138	95-121	84-132	107-109	75-141	106-110	96-120	59-157	53	52	57	55	-0.1	1.1	1.6	1.5	61	71	69	66	learned(model=1014,dba46fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1015,a13dff8a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1016,b66d6f6e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1017,2e3a2d4d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1014,dba46fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1015,a13dff8a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1016,b66d6f6e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=20)@1.learned(model=1017,2e3a2d4d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R5	8805	300	0.003	0	2000	32	8	0	800	40	16	432	0	gaz(sims=300,cvisit=800,cscale=40)@1	1018	1019	1020	1021	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1018.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1019.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1020.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1021.txt	481	636	606	678	26	21	22	20	0.875	0.813	0.820	0.788	39-177	58-158	59-157	65-151	50-166	81-135	69-147	91-125	40	45	49	49	-1.3	-0.6	-1.0	-0.6	49	66	63	70	learned(model=1018,b9733fd4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1019,a5d3a303,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1020,abdb4ad2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1021,17f5e051,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1018,b9733fd4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1019,a5d3a303,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1020,abdb4ad2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1021,17f5e051,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R6	8806	300	0.01	0.0003	2000	32	32	8	800	70	16	432	0	gaz(sims=300,cvisit=800,cscale=70)@1	1022	1023	1024	1025	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1022.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1023.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1024.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1025.txt	489	528	628	531	25	24	21	24	1.109	0.860	0.885	0.835	52-164	38-178	52-164	39-177	39-177	64-152	84-132	64-152	48	43	45	47	-1.3	-0.6	-0.5	-0.7	48	54	64	55	learned(model=1022,5d3e0a0e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1023,9854bed7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1024,ee9c4163,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1025,33b2213c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1022,5d3e0a0e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1023,9854bed7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1024,ee9c4163,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1025,33b2213c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R7	8807	500	0.03	0.0003	2000	32	128	4	400	100	20	432	0	gaz(sims=500,cvisit=400,cscale=100,m=20)@1	1026	1027	1028	1029	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1026.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1027.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1028.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1029.txt	534	547	578	560	24	24	23	23	1.398	1.373	1.397	1.425	40-176	49-167	46-170	43-173	64-152	59-157	72-144	69-147	43	44	46	46	-0.7	-1.0	-1.1	-0.7	51	52	55	53	learned(model=1026,8683fb8b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1027,030a466d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1028,d5949ca3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1029,a184f1cf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1026,8683fb8b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1027,030a466d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1028,d5949ca3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1029,a184f1cf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R8	8808	300	0.003	0	8000	128	128	0	1000	130	8	432	0	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1	1030	1031	1032	1033	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1030.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1031.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1032.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1033.txt	510	668	726	638	25	21	20	21	1.222	0.946	1.088	1.023	49-167	79-137	94-122	86-130	48-168	73-143	83-133	54-162	47	46	52	50	-0.9	-0.3	1.0	0.1	50	68	72	64	learned(model=1030,97388fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1031,3451d763,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1032,0f0df0d7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1033,030eb01c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1030,97388fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1031,3451d763,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1032,0f0df0d7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1033,030eb01c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R9	8809	300	0.003	0	500	16	8	0	800	70	12	432	0	gaz(sims=300,cvisit=800,cscale=70,m=12)@1	1034	1035	1036	1037	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1034.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1035.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1036.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1037.txt	592	601	638	638	22	22	21	21	0.870	0.994	1.003	0.917	65-151	77-139	88-128	79-137	58-158	49-167	52-164	61-155	42	45	47	48	-1.1	-0.7	-0.8	-0.2	61	60	64	65	learned(model=1034,30185f66,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1035,152bf56a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1036,8ba4344c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1037,d02de3c8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1034,30185f66,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1035,152bf56a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1036,8ba4344c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1037,d02de3c8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
