mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms	within	within_opener8	ab_within	ab_within_opener8
random	8	2	A	16	8	8	198	0.8886	78	127.6	490	13.91	105	0.05556	130	133.6	118.7	0.9529	8	0	0.7907	173.2	124.7	132.8	171.6	172.6
random	8	2	B	16	8	8	198	0.9047	72	114.8	324	17.3	107	0.04545	122	106	115.9	0.9322	9	1	0.7907	173.2	112.9	104.2	171.6	172.6
random	8	4	A	30.75	8	8	198	0.9264	76	103.9	524	9.909	76	0.06566	115.8	99.61	95.07	0.9749	5	0	0.866	144.7	102.6	99.58	142.6	135.4
random	8	4	B	30.71	8	8	198	0.9385	81	98.9	446	7.076	78	0.04545	101.9	84.57	108.7	0.9779	5	2	0.866	144.7	96.12	80.68	142.6	135.4
random	8	8	A	60.24	8	8	198	0.949	61	89.69	620	3.48	55	0.08586	117.9	71.02	72	0.9826	4	0	0.9034	124.7	88.15	70.81	123.4	100.7
random	8	8	B	60.12	8	8	198	0.9551	63	85.26	364	7.596	56	0.1111	98.34	68.29	86.45	0.9769	5	1	0.9034	124.7	82.61	66.03	123.4	100.7
random	8	16	A	113.2	8	8	198	0.9592	71	93.48	728	0.05051	40	0.1717	133.6	58.87	69.95	0.9763	6	0	0.9154	116.6	91.84	57.12	115	89.21
random	8	16	B	113	8	8	198	0.9597	82	73.15	289	4.914	40	0.1717	94.81	63.42	55.13	0.9809	4	0	0.9154	116.6	71.72	62.36	115	89.21
random	16	2	A	32	16	16	198	0.9528	56	77.99	301	-2.985	75	0.02525	74.13	75.5	83.97	0.9873	4	2	0.8966	108.1	76.26	74.45	106.5	109.7
random	16	2	B	32	16	16	198	0.9406	56	77.83	227	9.081	75	0.0404	71.67	71.78	88.78	0.9786	4	3	0.8966	108.1	76.33	71.59	106.5	109.7
random	16	4	A	61.59	16	16	198	0.9671	55	62.31	275	-2.167	55	0.05051	63.82	62.66	60.42	0.9863	4	1	0.9251	89.21	61.01	62.03	87.2	96.61
random	16	4	B	61.41	16	16	198	0.962	55	61.81	182	11.79	55	0.05051	61.69	62.97	60.75	0.9863	5	2	0.9251	89.21	59.98	62.47	87.2	96.61
random	16	8	A	120.8	16	16	198	0.9722	59	53.17	166	-0.2222	40	0.08081	55.98	49.96	53.38	0.984	5	2	0.9457	73.95	51.59	49.47	72.18	71.51
random	16	8	B	120.2	16	16	198	0.9763	38	49.64	166	10.52	39	0.09596	57.11	47.05	43.78	0.988	5	1	0.9457	73.95	47.48	46.35	72.18	71.51
random	16	16	A	226.9	16	16	198	0.9806	57	46.44	172	-1.338	29	0.1414	56.48	38.59	42.33	0.9856	5	1	0.9646	62.84	45.15	37.88	61.94	58.98
random	16	16	B	226.1	16	16	198	0.9833	33	44.13	196	6.318	29	0.1313	53.8	39.3	37.47	0.9896	4	3	0.9646	62.84	41.73	39.09	61.94	58.98
random	32	2	A	64	32	32	198	0.9681	59	60.4	176	7.561	53	0.0404	64.84	60.56	55.43	0.9779	7	3	0.9463	78.18	57.89	59.07	76.4	78.75
random	32	2	B	64	32	32	198	0.966	63	56.16	218	12.72	53	0.04545	63.9	45.05	57.87	0.9923	3	3	0.9463	78.18	54.18	43.87	76.4	78.75
random	32	4	A	123.3	32	32	198	0.9787	46	48.29	177	6.763	39	0.09091	57.13	47.94	37.84	0.986	5	2	0.9659	62.72	46.61	47.57	61.84	63.26
random	32	4	B	122.9	32	32	198	0.9786	61	48.35	236	8.838	39	0.06061	61.05	39.9	41.15	0.988	4	3	0.9659	62.72	47.03	38.44	61.84	63.26
random	32	8	A	241.8	32	32	198	0.9842	39	43.75	200	5.207	27	0.1414	56.58	40.23	30.38	0.983	5	2	0.9752	52.84	41.77	40.01	52.45	55.6
random	32	8	B	240.6	32	32	198	0.984	54	42.62	217	5.742	28	0.101	55.61	39.34	28.45	0.989	3	2	0.9752	52.84	41.6	39.05	52.45	55.6
random	32	16	A	454.2	32	32	198	0.9886	37	39.81	213	4.864	20	0.2071	55.21	29.84	28.54	0.99	3	1	0.9819	45.17	36.71	29.37	44.23	42.31
random	32	16	B	451.3	32	32	198	0.9865	55	38.98	207	3.333	20	0.1768	53.93	32.96	23.73	0.9893	4	1	0.9819	45.17	38.31	32.54	44.23	42.31
random	64	2	A	128	64	64	198	0.981	45	43.42	151	2.359	37	0.07576	51.65	39.3	38	0.9833	4	2	0.9703	56.63	42.67	38.65	55.48	59.02
random	64	2	B	128	64	64	198	0.9812	53	42.52	122	8.545	37	0.05556	45.5	42.03	39.82	0.9826	5	2	0.9703	56.63	41.34	40.51	55.48	59.02
random	64	4	A	246	64	64	198	0.9861	52	37.92	137	2.126	28	0.1061	47	30.94	33.86	0.9886	4	2	0.9821	45.5	37.5	30.82	44.42	43.14
random	64	4	B	246.4	64	64	198	0.9867	48	34.26	116	7.071	27	0.09091	41.4	30.03	30.08	0.9833	5	2	0.9821	45.5	32.94	27.37	44.42	43.14
random	64	8	A	482	64	64	198	0.9897	42	32.57	120	0.5808	20	0.1414	40.64	26.69	28.63	0.9893	4	1	0.9877	36.14	31.84	26.34	35	33.64
random	64	8	B	483.1	64	64	198	0.9915	36	29.58	111	4.429	19	0.1313	38.93	23.39	23.7	0.9876	4	5	0.9877	36.14	28.6	21.56	35	33.64
random	64	16	A	905.6	64	64	198	0.9929	38	26.89	108	-0.9848	14	0.1869	34.26	22.69	21.93	0.991	4	2	0.9905	32.05	26.15	22.35	30.94	29.06
random	64	16	B	909.5	64	64	198	0.9928	35	27.77	111	2.601	14	0.197	38.61	19.72	20.83	0.9893	5	4	0.9905	32.05	26.68	19.28	30.94	29.06
random	112	2	A	224	112	112	198	0.9859	48	36.05	101	8.384	28	0.1061	40.27	29.9	37.19	0.986	6	3	0.9846	38.3	34.32	29.66	37.9	34.99
random	112	2	B	224	112	112	198	0.989	48	32.58	114	8.02	28	0.07576	41.4	22.26	31.23	0.9833	4	0	0.9846	38.3	30.92	22.13	37.9	34.99
random	112	4	A	430.4	112	112	198	0.9917	34	29.98	103	6.283	21	0.1162	35.95	24.35	28.47	0.9906	5	3	0.9907	30.23	28.79	23.9	30.02	30.15
random	112	4	B	430.9	112	112	198	0.9917	42	25.74	97	5.247	20	0.09091	32.79	20.1	22.56	0.987	4	1	0.9907	30.23	24.92	20.08	30.02	30.15
random	112	8	A	843.1	112	112	198	0.9942	23	24.86	109	4.374	15	0.1768	30.5	18.94	23.78	0.9923	4	2	0.9922	26.61	23.73	18.8	26.42	25.72
random	112	8	B	844.8	112	112	198	0.9942	28	22.28	75	3.495	15	0.1364	28.25	17.96	19.18	0.9876	4	3	0.9922	26.61	21.44	17.95	26.42	25.72
random	112	16	A	1584	112	112	198	0.9952	23	22.85	116	2.172	11	0.2172	29.99	15.76	20.46	0.9933	3	3	0.9937	25.14	21.4	15.42	24.93	23.2
