mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms
random	8	2	A	18.46	9.232	8	198	0.9112	90	132.3	573	3.035	104	0.07071	122	108.8	160.7	0.9606	6	0	0.8305	176.6
random	8	2	B	18.29	9.146	8	198	0.8896	83	142	640	-22.41	105	0.05051	122.1	121.4	175.6	0.9706	6	1	0.8305	176.6
random	8	4	A	35.9	9.232	8	198	0.928	88	96.96	316	16.23	75	0.1061	98.95	95.84	96.07	0.9632	8	0	0.8756	124.5
random	8	4	B	35.63	9.146	8	198	0.94	70	90.14	316	-2.52	74	0.0303	84.69	89.82	95.58	0.985	4	2	0.8756	124.5
random	8	8	A	70.77	9.232	8	198	0.9548	71	77.21	228	15.95	53	0.1768	87.52	71.37	71.63	0.9729	7	1	0.9296	92.25
random	8	8	B	70.29	9.146	8	198	0.9623	54	65.97	207	5.697	53	0.07071	62.07	72.41	62.93	0.9883	3	2	0.9296	92.25
random	8	16	A	138.1	9.232	8	198	0.9661	52	60.73	164	8.237	37	0.2222	66.97	57.41	57.29	0.984	6	0	0.9408	79.54
random	8	16	B	136.8	9.146	8	198	0.9709	53	55.38	206	-3.652	37	0.1313	56.61	58.79	50.4	0.9843	5	3	0.9408	79.54
random	16	2	A	37.07	18.54	16	198	0.96	55	80.95	291	-4.025	73	0.03535	79.1	73.04	89.83	0.9696	7	1	0.9083	117.5
random	16	2	B	37.23	18.62	16	198	0.9473	52	89.74	432	0.1263	73	0.09091	93.76	80.88	93.95	0.9763	4	1	0.9083	117.5
random	16	4	A	72.63	18.54	16	198	0.9709	50	63.73	268	14.16	51	0.09091	72.78	55.78	61.46	0.9863	4	1	0.9433	86.98
random	16	4	B	72.68	18.62	16	198	0.9661	51	61.64	170	2.035	52	0.08081	64.19	55.58	64.72	0.9833	5	1	0.9433	86.98
random	16	8	A	143.7	18.54	16	198	0.9805	39	51	225	8.424	36	0.1313	61.22	41.23	48.54	0.9876	4	2	0.9658	65.41
random	16	8	B	143.6	18.62	16	198	0.9766	49	49.42	234	2.359	37	0.09596	49.92	45.59	52.51	0.9873	3	0	0.9658	65.41
random	16	16	A	280.2	18.54	16	198	0.9844	34	45.65	248	10.56	26	0.1818	55.95	39.31	39.71	0.9856	5	2	0.9732	57.82
random	16	16	B	279.9	18.62	16	198	0.9819	58	43.14	227	2.672	26	0.1465	43.61	38.84	46.62	0.99	3	2	0.9732	57.82
