# rank.exe determinism -- one row per (subject, colour)
# probe=ab(deep=2)@1.classic(chip=100)@2	replicas=3	board=boards/board1.txt
# distinct = distinct move sequences over the replicas (1 = reproducible)
# first_div_ply = first half-move where two replicas differ (-1 = none)
# det = rankAgentIsDeterministic (0 = draws from rand(), expected to fail)
# traceset = hash over the SORTED DISTINCT per-ply position traces. Two runs of
#   this command agree on a row's trajectories exactly when its traceset matches,
#   so diffing two TSVs is an exact cross-process test, not a plies/nodes proxy.
colour	det	timed	replicas	distinct	first_div_ply	traceset	plies	result	nodes_self	id
W	1	0	3	1	-1	50edca741c1fa2bc	64	B	0	greedy@1.classic(chip=100)@2
B	1	0	3	1	-1	9cb7c7e66a811c34	48	B	0	greedy@1.classic(chip=100)@2
W	1	0	3	1	-1	af89963fae4f19d4	66	B	0	greedy@1.classic(chip=10,wall=3,column=2)@2
B	1	0	3	1	-1	ed4636bc8e328ddd	91	W	0	greedy@1.classic(chip=10,wall=3,column=2)@2
W	1	0	3	1	-1	50edca741c1fa2bc	64	B	785	ab(deep=1)@1.classic(chip=100)@2
B	1	0	3	1	-1	9cb7c7e66a811c34	48	B	578	ab(deep=1)@1.classic(chip=100)@2
W	1	0	3	1	-1	912962e1d2f67d48	90	B	12419	ab(deep=2)@1.classic(chip=100)@2
B	1	0	3	1	-1	912962e1d2f67d48	90	B	14156	ab(deep=2)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	14268	ab(deep=3)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	13448	ab(deep=3)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	52052	ab(deep=4)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	50385	ab(deep=4)@1.classic(chip=100)@2
W	1	0	3	1	-1	a45169688b43bb0e	25	W	368615	ab(deep=5)@1.classic(chip=100)@2
B	1	0	3	1	-1	3063a9870880bdb6	24	B	361945	ab(deep=5)@1.classic(chip=100)@2
W	1	0	3	1	-1	e72cf05696eb6270	69	W	619761	ab(deep=4)@1.classic(chip=10,wall=3,column=2)@2
B	1	0	3	1	-1	79a8e64cdfc0d1bc	60	B	330835	ab(deep=4)@1.classic(chip=10,wall=3,column=2)@2
W	1	0	3	1	-1	3178190f5ee3e8d7	69	W	347730	ab(deep=4)@1.exp(chip=4,forward=1)@2
