# rank.exe determinism -- one row per (subject, colour)
# probe=ab(deep=2)@3.classic(chip=100)@2	replicas=4	board=boards/board1.txt
# distinct = distinct move sequences over the replicas (1 = reproducible)
# first_div_ply = first half-move where two replicas differ (-1 = none)
# det = rankAgentIsDeterministic (0 = draws from rand(), expected to fail)
# traceset = hash over the SORTED DISTINCT per-ply position traces. Two runs of
#   this command agree on a row's trajectories exactly when its traceset matches,
#   so diffing two TSVs is an exact cross-process test, not a plies/nodes proxy.
colour	det	timed	replicas	distinct	first_div_ply	traceset	plies	result	nodes_self	id
W	1	0	4	1	-1	a45169688b43bb0e	25	W	2001900	ab(deep=12,tt,ord,nodes=200k)@3.classic(chip=100)@2
B	1	0	4	1	-1	3063a9870880bdb6	24	B	1724901	ab(deep=12,tt,ord,nodes=200k)@3.classic(chip=100)@2
W	1	0	4	1	-1	5b3a85ec9bca8d9f	57	B	5193077	ab(deep=12,tt,ord,nodes=200k)@3.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
B	1	0	4	1	-1	ec138055d8daa927	50	B	4225336	ab(deep=12,tt,ord,nodes=200k)@3.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
W	1	0	4	1	-1	a45169688b43bb0e	25	W	932671	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.classic(chip=100)@2
B	1	0	4	1	-1	3063a9870880bdb6	24	B	881918	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.classic(chip=100)@2
W	1	0	4	1	-1	d490fcb7367f1b0b	53	B	2340443	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
B	1	0	4	1	-1	7a519d9c668b5861	44	B	1755196	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
W	1	0	4	1	-1	96b0bc8a85e522a9	37	W	1407735	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
B	1	0	4	1	-1	687000de3d6c9a41	62	B	2607683	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
W	1	0	4	1	-1	5017a1f1e4648d9a	43	W	1765341	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
B	1	0	4	1	-1	2fd96cb40148e76c	50	B	2113554	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
W	1	0	4	1	-1	665379910bc619dd	63	B	2361091	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
B	1	0	4	1	-1	ca0673124c2b152e	40	B	1516047	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
W	1	0	4	1	-1	7dbb469a330bf51a	47	W	1998520	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	0	4	1	-1	1ecde68313e50639	52	B	2198256	ab(deep=12,tt,ord,rem=70,retain,nodes=100k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
