# Current standings: active roster only, from the same fit as ratings.tsv.
# Compare Elo only WITHIN one head and WITHIN this file (never across fits).
# Retired ('gone') agents are excluded by design; see ratings.tsv for the full history.
# eff_evaluator elides the turn weight t when the search cannot act on it (no qs/part):
#   t shifts every leaf by one constant at fixed depth, so it reorders nothing there.
#   Compare cores on eff_evaluator; 'evaluator' and 'id' keep the exact canonical form.
head	elo	pm	games	cpu_ms_move	active	eff_evaluator	evaluator	id
ab(deep=12,tt,ord,time=150ms)@2	1279	32	160	17.989	on	classic(chip=100)@2	classic(chip=100)@2	ab(deep=12,tt,ord,time=150ms)@2.classic(chip=100)@2
ab(deep=12,tt,ord,time=150ms)@2	959	29	160	21.412	on	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	ab(deep=12,tt,ord,time=150ms)@2.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1251	10	3684	25.390	on	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1242	10	3592	26.228	on	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1213	9	3684	26.561	on	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1176	9	3592	27.498	on	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1171	9	3592	10.854	on	classic(chip=100)@2.opener(book,book=2)@1	classic(chip=100)@2.opener(book,book=2)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=2)@1
ab(deep=6,tt,ord,nodes=200k)@2	1167	9	3592	11.303	on	classic(chip=100)@2.opener(book,book=7)@1	classic(chip=100)@2.opener(book,book=7)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=7)@1
ab(deep=6,tt,ord,nodes=200k)@2	1167	9	3592	10.874	on	classic(chip=100)@2.opener(book,book=9)@1	classic(chip=100)@2.opener(book,book=9)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=9)@1
ab(deep=6,tt,ord,nodes=200k)@2	1163	9	3592	10.673	on	classic(chip=100)@2.opener(book,book=4)@1	classic(chip=100)@2.opener(book,book=4)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=4)@1
ab(deep=6,tt,ord,nodes=200k)@2	1163	9	3592	11.081	on	classic(chip=100)@2.opener(book,book=8)@1	classic(chip=100)@2.opener(book,book=8)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=8)@1
ab(deep=6,tt,ord,nodes=200k)@2	1160	9	3592	11.347	on	classic(chip=100)@2.opener(book,book=14)@1	classic(chip=100)@2.opener(book,book=14)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=14)@1
ab(deep=6,tt,ord,nodes=200k)@2	1152	9	3592	11.287	on	classic(chip=100)@2.opener(book,book=13)@1	classic(chip=100)@2.opener(book,book=13)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=13)@1
ab(deep=6,tt,ord,nodes=200k)@2	1142	9	3592	28.162	on	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1138	8	3592	28.604	on	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1133	8	3592	10.832	on	classic(chip=100)@2.opener(book,book=1)@1	classic(chip=100)@2.opener(book,book=1)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1128	8	3684	11.309	on	classic(chip=100)@2	classic(chip=100)@2	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2
ab(deep=6,tt,ord,nodes=200k)@2	1124	8	3592	18.206	on	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1114	8	3592	18.992	on	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1114	8	3592	18.204	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
ab(deep=6,tt,ord,nodes=200k)@2	1108	8	3593	17.388	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1
ab(deep=6,tt,ord,nodes=200k)@2	1105	8	3592	18.449	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1
ab(deep=6,tt,ord,nodes=200k)@2	1104	8	3592	17.109	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
