rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
1	1186	24	504	442	62	240	12	202	50	37.1	0.253	6.554	973	94	gone	ab(deep=6,tt,ord,margin=100,nodes=200k)@1.classic(chip=100)@1
2	1176	15	1820	1705	115	856	54	849	61	53.2	25.299	25.055	91688	80	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
3	1174	15	1820	1703	117	865	45	838	72	51.1	26.150	25.815	93553	80	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
4	1174	24	504	438	66	241	11	197	55	37.6	0.179	5.336	666	95	gone	ab(deep=6,tt,ord,margin=25,nodes=200k)@1.classic(chip=100)@1
5	1163	9	2780	2321	459	1144	246	1177	213	45.4	142.510	138.026	473353	68	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2
6	1162	23	504	434	70	249	3	185	67	41.6	8.196	9.591	83762	88	gone	ab(deep=6,ord,nodes=200k)@1.classic(chip=100)@1
7	1158	12	1880	1642	238	836	104	806	134	44.1	118.576	115.401	393835	69	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2.dil(prob=15,deep=6)@1
8	1147	23	504	429	75	233	19	196	56	38.5	0.177	4.949	664	93	gone	ab(deep=6,tt,ord,margin=50,nodes=200k)@1.classic(chip=100)@1
9	1146	11	1880	1626	254	815	125	811	129	44.2	94.993	92.603	315232	69	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2.dil(prob=30,deep=6)@1
10	1139	23	504	426	78	234	18	192	60	38.3	2.763	7.152	14712	89	gone	ab(deep=6,tt,nodes=200k)@1.classic(chip=100)@1
11	1139	23	504	426	78	234	18	192	60	38.3	2.843	4.995	14822	93	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1
12	1118	13	1820	1652	168	835	75	817	93	51.5	26.925	26.466	95381	76	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
13	1096	22	504	410	94	246	6	164	88	37.6	5.282	7.564	124482	85	gone	ab(deep=6,nodes=200k)@1.classic(chip=100)@1
14	1096	10	1975	1599	376	808	174	791	202	54.7	24.104	22.553	74641	76	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
15	1092	8	2596	1974	622	1001	297	973	325	55.3	13.824	13.389	45647	80	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=11)@1
16	1082	26	318	256	62	138	21	118	41	36.7	1.619	5.896	7690	86	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=15,deep=3)@1
17	1078	8	2596	1938	658	1014	284	924	374	55.0	15.371	14.789	50887	78	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
18	1071	26	318	253	65	139	20	114	45	36.8	0.201	5.997	794	85	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=15,deep=4)@1
19	1069	9	1800	1255	545	638	262	617	283	56.6	16.051	15.467	54188	77	gone	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1
20	1068	8	2636	1942	694	906	412	1036	282	46.4	7.676	7.291	23402	83	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=2)@1
21	1065	12	1820	1594	226	823	87	771	139	52.2	27.494	27.177	99220	72	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
22	1062	8	2596	1894	702	945	353	949	349	56.0	12.580	12.216	41761	78	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
23	1060	12	1820	1588	232	814	96	774	136	42.2	130.194	128.907	481199	62	on	ab(deep=8,tt,ord,nodes=2m)@2.classic(chip=100)@2
24	1059	11	1756	1405	351	665	213	740	138	52.1	39.717	38.513	120229	70	gone	ab(deep=6,ord,nodes=200k)@1.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=20)@1
25	1058	12	1820	1585	235	810	100	775	135	42.4	11.256	10.930	38673	79	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=2)@1
26	1056	8	2596	1877	719	956	342	921	377	56.2	14.168	13.737	46933	77	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
27	1055	8	2740	1958	782	1021	349	937	433	57.4	20.613	19.947	69044	74	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
28	1054	12	1820	1581	239	808	102	773	137	41.1	11.689	11.333	40968	78	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=7)@1
29	1053	12	1820	1580	240	792	118	788	122	41.7	11.402	11.107	40077	78	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=8)@1
30	1053	10	1966	1515	451	768	210	747	241	53.3	21.253	20.162	65533	74	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
31	1050	12	1820	1576	244	852	58	724	186	53.0	28.638	28.145	101687	71	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1
32	1046	8	2636	1882	754	977	341	905	413	55.1	14.485	14.143	49499	76	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
33	1045	12	1820	1570	250	793	117	777	133	42.2	11.181	10.898	39188	78	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=9)@1
34	1044	12	1820	1568	252	782	128	786	124	41.6	10.990	10.708	38536	78	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=4)@1
35	1042	25	318	245	73	129	30	116	43	37.2	2.509	4.726	12591	85	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=30,deep=3)@1
36	1042	25	318	245	73	135	24	110	49	37.0	0.143	4.373	545	86	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=30,deep=4)@1
37	1042	14	1052	893	159	465	61	428	98	53.4	20.202	19.417	63471	73	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
