# Core-major standings: one row per evaluator core, one column group per
# category cell (division x track). Compare Elo only WITHIN this file, which
# is one fit; never against a number from another fit.
# A core's cells are separate identities with separate games, so a blank cell
# means unplayed, not zero.
mean_elo	core	openless_x_node_elo	openless_x_node_pm	openless_x_node_games	openless_x_time_elo	openless_x_time_pm	openless_x_time_games	opener8_x_node_elo	opener8_x_node_pm	opener8_x_node_games	opener8_x_time_elo	opener8_x_time_pm	opener8_x_time_games	dil20_x_node_elo	dil20_x_node_pm	dil20_x_node_games	dil20_x_time_elo	dil20_x_time_pm	dil20_x_time_games
956	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	1204	8	5260	1197	6	7296	964	5	6992	972	5	6992	698	5	6992	701	5	6992
948	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	1193	8	5022	1199	7	6992	948	5	6992	949	5	6992	696	5	6992	705	5	6992
946	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	1181	8	5260	1169	6	6992	960	5	6992	953	5	6992	707	5	6992	706	5	6992
940	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	1157	8	5022	1164	6	6992	962	5	6992	957	5	6992	700	5	6992	698	5	6992
940	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	1172	8	5022	1156	6	6992	956	5	6992	953	5	6992	701	5	6992	699	5	6992
918	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	1119	8	5022	1122	6	6992	944	5	6992	939	5	6992	691	5	6992	695	5	6992
863	learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1	1034	7	5022	1044	5	6992	896	5	6992	893	5	6992	651	5	6992	660	5	6992
860	classic(chip=100)@2	1080	7	5260	1030	5	7296	866	5	6992	851	5	6992	670	5	6992	662	5	6992
859	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	1074	7	5022	1064	6	6992	846	5	6992	841	5	6992	664	5	6992	664	5	6992
854	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	1087	7	5022	1062	5	6992	859	5	6992	862	5	6992	630	5	6992	622	5	6992
840	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1	1043	7	5022	1073	6	6992	842	5	6992	825	5	6992	628	5	6992	629	5	6992
834	learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1	996	6	5022	998	5	6992	876	5	6992	866	5	6992	638	5	6992	629	5	6992
810	learned(model=3,68364898,pool_games,lin,shape=129-1)@1	1006	7	5022	1023	5	6992	809	5	6992	810	5	6992	607	5	6992	607	5	6992
801	learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1	948	6	5022	980	5	6992	839	5	6992	832	5	6992	604	5	6992	600	5	6992
787	learned(model=4,eb105733,pool_games,lin,shape=129-1)@1	964	6	5022	957	5	6992	816	5	6992	802	5	6992	588	5	6992	598	5	6992
787	learned(model=459,642147d2,tdleaf_self,lin,shape=129-1)@1	907	6	5022	940	5	6992	817	5	6992	825	5	6992	616	5	6992	615	5	6992
780	learned(model=387,607b64aa,tdleaf_self,lin,shape=30-1)@1	973	6	5022	858	5	6992	858	5	6992	792	5	6992	628	5	6992	570	5	6992
771	learned(model=405,111c40c8,tdleaf_self,mlp,shape=129-32-1)@1	967	6	5022	892	5	6992	835	5	6992	776	5	6992	589	5	6992	567	5	6992
758	learned(model=99,59815079,pool_games,lin,shape=129-1)@1	917	6	5022	915	5	6992	757	5	6992	759	5	6992	603	5	6992	598	5	6992
710	learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1	988	6	5022	764	5	6992	807	5	6992	627	5	6992	597	5	6992	476	6	6992
704	learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1	941	6	5022	762	5	6992	798	5	6992	638	5	6992	599	5	6992	489	6	6992
687	learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1	819	6	5022	842	5	6992	697	5	6992	708	5	6992	535	5	6992	523	5	6992
685	learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1	961	6	5022	703	5	6992	826	5	6992	570	5	6992	605	5	6992	442	6	6992
660	learned(model=95,07792e69,pool_games,lin,shape=129-1)@1	771	6	5022	787	5	6992	662	5	6992	675	5	6992	527	5	6992	538	5	6992
613	learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1	901	6	5022	618	5	6992	737	5	6992	493	6	6992	549	5	6992	383	7	6992
