# Core-major standings: one row per evaluator core, one column group per
# category cell (division x track). Compare Elo only WITHIN this file, which
# is one fit; never against a number from another fit.
# A core's cells are separate identities with separate games, so a blank cell
# means unplayed, not zero.
mean_elo	core	openless_x_node_elo	openless_x_node_pm	openless_x_node_games	openless_x_time_elo	openless_x_time_pm	openless_x_time_games	opener8_x_node_elo	opener8_x_node_pm	opener8_x_node_games	opener8_x_time_elo	opener8_x_time_pm	opener8_x_time_games	dil20_x_node_elo	dil20_x_node_pm	dil20_x_node_games	dil20_x_time_elo	dil20_x_time_pm	dil20_x_time_games
943	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	1167	8	5260	1170	6	7296	954	5	6992	961	5	6992	702	5	6992	705	5	6992
937	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	1161	8	5022	1173	6	6992	938	5	6992	939	5	6992	700	5	6992	708	5	6992
934	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	1148	7	5260	1146	6	6992	949	5	6992	943	5	6992	710	5	6992	709	5	6992
929	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	1131	8	5022	1141	6	6992	951	5	6992	947	5	6992	704	5	6992	701	5	6992
929	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	1143	8	5022	1134	6	6992	946	5	6992	943	5	6992	705	5	6992	703	5	6992
909	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	1096	7	5022	1102	6	6992	934	5	6992	930	5	6992	695	5	6992	699	5	6992
858	learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1	1019	6	5022	1029	5	6992	890	5	6992	886	5	6992	657	5	6992	666	5	6992
854	classic(chip=100)@2	1059	6	5260	1016	5	7296	861	5	6992	847	5	6992	675	5	6992	667	5	6992
854	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	1056	7	5022	1048	5	6992	842	5	6992	837	5	6992	670	5	6992	670	5	6992
849	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	1068	7	5022	1046	5	6992	854	5	6992	857	5	6992	637	5	6992	629	5	6992
836	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1	1027	7	5022	1056	5	6992	838	5	6992	822	5	6992	635	5	6992	636	5	6992
831	learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1	984	6	5022	985	5	6992	871	5	6992	861	5	6992	645	5	6992	637	5	6992
808	learned(model=3,68364898,pool_games,lin,shape=129-1)@1	993	6	5022	1010	5	6992	807	5	6992	808	5	6992	615	5	6992	615	5	6992
799	learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1	940	6	5022	969	5	6992	835	5	6992	829	5	6992	612	5	6992	608	5	6992
787	learned(model=4,eb105733,pool_games,lin,shape=129-1)@1	954	6	5022	947	5	6992	814	5	6992	801	5	6992	598	5	6992	607	5	6992
786	learned(model=459,642147d2,tdleaf_self,lin,shape=129-1)@1	901	6	5022	931	5	6992	815	5	6992	822	5	6992	624	5	6992	623	5	6992
779	learned(model=387,607b64aa,tdleaf_self,lin,shape=30-1)@1	963	6	5022	854	5	6992	853	5	6992	791	5	6992	636	5	6992	581	5	6992
771	learned(model=405,111c40c8,tdleaf_self,mlp,shape=129-32-1)@1	957	6	5022	885	5	6992	831	5	6992	776	5	6992	598	5	6992	577	5	6992
759	learned(model=99,59815079,pool_games,lin,shape=129-1)@1	910	6	5022	908	5	6992	757	5	6992	759	5	6992	611	5	6992	607	5	6992
713	learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1	977	6	5022	765	5	6992	805	5	6992	634	5	6992	606	5	6992	492	6	6992
708	learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1	933	6	5022	763	5	6992	797	5	6992	645	5	6992	608	5	6992	504	6	6992
692	learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1	818	6	5022	838	5	6992	701	5	6992	711	5	6992	547	5	6992	536	5	6992
690	learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1	952	6	5022	707	5	6992	823	5	6992	580	5	6992	614	5	6992	461	6	6992
666	learned(model=95,07792e69,pool_games,lin,shape=129-1)@1	774	5	5022	786	5	6992	668	5	6992	680	5	6992	540	5	6992	551	5	6992
