# Core-major standings: one row per evaluator core, one column group per
# category cell (division x track). Compare Elo only WITHIN this file, which
# is one fit; never against a number from another fit.
# A core's cells are separate identities with separate games, so a blank cell
# means unplayed, not zero.
mean_elo	core	openless_x_node_elo	openless_x_node_pm	openless_x_node_games	openless_x_time_elo	openless_x_time_pm	openless_x_time_games	opener8_x_node_elo	opener8_x_node_pm	opener8_x_node_games	opener8_x_time_elo	opener8_x_time_pm	opener8_x_time_games	dil20_x_node_elo	dil20_x_node_pm	dil20_x_node_games	dil20_x_time_elo	dil20_x_time_pm	dil20_x_time_games
1241	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	1491	8	5260	1483	6	7296	1249	5	6992	1257	5	6992	983	5	6992	986	5	6992
1234	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	1479	8	5022	1485	7	6992	1233	5	6992	1234	5	6992	981	5	6992	990	5	6992
1231	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	1467	8	5260	1455	6	6992	1245	5	6992	1238	5	6992	991	5	6992	991	5	6992
1225	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	1443	8	5022	1450	6	6992	1247	5	6992	1242	5	6992	985	5	6992	982	5	6992
1225	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	1458	8	5022	1442	6	6992	1241	5	6992	1238	5	6992	986	5	6992	984	5	6992
1204	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	1405	8	5022	1408	6	6992	1229	5	6992	1224	5	6992	976	5	6992	980	5	6992
1148	learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1	1320	7	5022	1329	5	6992	1181	5	6992	1178	5	6992	935	5	6992	945	5	6992
1145	classic(chip=100)@2	1366	7	5260	1316	5	7296	1151	5	6992	1137	5	6992	955	5	6992	947	5	6992
1144	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	1360	7	5022	1349	6	6992	1131	5	6992	1126	5	6992	949	5	6992	949	5	6992
1139	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	1373	7	5022	1348	6	6992	1144	5	6992	1147	5	6992	915	5	6992	906	5	6992
1125	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1	1329	7	5022	1359	6	6992	1127	5	6992	1110	5	6992	913	5	6992	913	5	6992
1119	learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1	1282	6	5022	1283	5	6992	1161	5	6992	1151	5	6992	923	5	6992	914	5	6992
1095	learned(model=3,68364898,pool_games,lin,shape=129-1)@1	1292	7	5022	1309	5	6992	1094	5	6992	1095	5	6992	891	5	6992	891	5	6992
1086	learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1	1234	6	5022	1266	5	6992	1124	5	6992	1118	5	6992	888	5	6992	884	5	6992
1073	learned(model=4,eb105733,pool_games,lin,shape=129-1)@1	1249	6	5022	1242	5	6992	1101	5	6992	1087	5	6992	873	5	6992	882	5	6992
