# Core-major standings: one row per evaluator core, one column group per
# category cell (division x track). Compare Elo only WITHIN this file, which
# is one fit; never against a number from another fit.
# A core's cells are separate identities with separate games, so a blank cell
# means unplayed, not zero.
mean_elo	core	openless_x_node_elo	openless_x_node_pm	openless_x_node_games	openless_x_time_elo	openless_x_time_pm	openless_x_time_games	opener8_x_node_elo	opener8_x_node_pm	opener8_x_node_games	opener8_x_time_elo	opener8_x_time_pm	opener8_x_time_games	dil20_x_node_elo	dil20_x_node_pm	dil20_x_node_games	dil20_x_time_elo	dil20_x_time_pm	dil20_x_time_games
942	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	1161	9	2972	1162	8	3896	954	7	3592	957	7	3592	707	7	3592	708	7	3592
938	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	1156	10	2734	1160	8	3592	938	7	3592	942	7	3592	718	7	3592	714	7	3592
937	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	1139	9	2972	1142	8	3592	948	7	3592	945	7	3592	722	7	3592	725	7	3592
931	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	1123	10	2734	1135	8	3592	945	7	3592	956	7	3592	713	7	3592	714	7	3592
930	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	1127	10	2734	1130	8	3592	950	7	3592	952	7	3592	710	7	3592	710	7	3592
911	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	1083	9	2734	1103	8	3592	933	7	3592	933	7	3592	698	7	3592	715	7	3592
863	learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1	1015	8	2734	1030	7	3592	896	7	3592	894	7	3592	670	7	3592	675	7	3592
857	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	1060	9	2734	1053	7	3592	861	7	3592	872	7	3592	655	7	3592	643	7	3592
857	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	1046	9	2734	1054	7	3592	842	7	3592	844	7	3592	682	7	3592	675	7	3592
855	classic(chip=100)@2	1045	8	2972	1011	7	3896	866	7	3592	853	7	3592	679	7	3592	675	7	3592
