# Current standings: active roster only, from the same fit as ratings.tsv.
# Compare Elo only WITHIN one head and WITHIN this file (never across fits).
# Retired ('gone') agents are excluded by design; see ratings.tsv for the full history.
# eff_evaluator elides the turn weight t when the search cannot act on it (no qs/part):
#   t shifts every leaf by one constant at fixed depth, so it reorders nothing there.
#   Compare cores on eff_evaluator; 'evaluator' and 'id' keep the exact canonical form.
head	elo	pm	games	cpu_ms_move	active	eff_evaluator	evaluator	id
ab(d8,tt,ord,nb2m)@1	1158	12	1456	134.425	on	classic(c4,w0,l0)@2	classic(t1,c4,w0,l0)@2	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2
ab(d8,tt,ord,nb2m)@1	1130	17	856	85.985	on	classic(c4,w0,l0)@2.dil(r30,d6)@1	classic(t1,c4,w0,l0)@2.dil(r30,d6)@1	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.dil(r30,d6)@1
ab(d8,tt,ord,nb2m)@1	1118	17	856	110.575	on	classic(c4,w0,l0)@2.dil(r15,d6)@1	classic(t1,c4,w0,l0)@2.dil(r15,d6)@1	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.dil(r15,d6)@1
ab(d6,tt,ord,nb200k)@1	1114	12	1312	5.879	on	classic(c4,w0,l0)@2.opener(book,2)@1	classic(t1,c4,w0,l0)@2.opener(book,2)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,2)@1
ab(d6,tt,ord,nb200k)@1	1066	12	1312	10.989	on	learned(s98,5801570e)@1.opener(book,1)@1	learned(s98,5801570e)@1.opener(book,1)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(book,1)@1
ab(d6,tt,ord,nb200k)@1	1061	16	856	14.510	on	learned(s3,68364898)@1	learned(s3,68364898)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1
ab(d6,tt,ord,nb200k)@1	1054	15	856	14.110	on	learned(s6,eac8ab99)@1	learned(s6,eac8ab99)@1	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1
ab(d6,tt,ord,nb200k)@1	1044	15	856	13.878	on	learned(s7,c7f7ce61)@1	learned(s7,c7f7ce61)@1	ab(d6,tt,ord,nb200k)@1.learned(s7,c7f7ce61)@1
ab(d6,tt,ord,nb200k)@1	1043	11	1456	12.447	on	learned(s96,990e39e7)@1	learned(s96,990e39e7)@1	ab(d6,tt,ord,nb200k)@1.learned(s96,990e39e7)@1
ab(d6,tt,ord,nb200k)@1	1043	11	1456	12.431	on	learned(s98,5801570e)@1	learned(s98,5801570e)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
ab(d6,tt,ord,nb200k)@1	1038	15	856	16.584	on	learned(s76,ef183148)@1	learned(s76,ef183148)@1	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148)@1
ab(d6,tt,ord,nb200k)@1	1037	16	816	370.963	on	learned(s111,78ef6974)@1	learned(s111,78ef6974)@1	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1
ab(d6,tt,ord,nb200k)@1	1016	15	816	350.908	on	learned(s113,e3cc8b4e)@1	learned(s113,e3cc8b4e)@1	ab(d6,tt,ord,nb200k)@1.learned(s113,e3cc8b4e)@1
ab(d6,tt,ord,nb200k)@1	1015	15	856	14.361	on	learned(s8,6f1a4264)@1	learned(s8,6f1a4264)@1	ab(d6,tt,ord,nb200k)@1.learned(s8,6f1a4264)@1
ab(d6,tt,ord,nb200k)@1	1007	15	856	15.328	on	learned(s4,eb105733)@1	learned(s4,eb105733)@1	ab(d6,tt,ord,nb200k)@1.learned(s4,eb105733)@1
ab(d6,tt,ord,nb200k)@1	990	10	1768	5.767	on	classic(c4,w0,l0)@2	classic(t1,c4,w0,l0)@2	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
ab(d6,tt,ord,nb200k)@1	982	11	1312	6.582	on	classic(c4,w0,l0)@2.opener(book,1)@1	classic(t1,c4,w0,l0)@2.opener(book,1)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(book,1)@1
ab(d6,tt,ord,nb200k)@1	982	15	816	784.949	on	learned(s77,ddaa5090)@1	learned(s77,ddaa5090)@1	ab(d6,tt,ord,nb200k)@1.learned(s77,ddaa5090)@1
ab(d6,tt,ord,nb200k)@1	977	15	816	732.046	on	learned(s78,2fa21eda)@1	learned(s78,2fa21eda)@1	ab(d6,tt,ord,nb200k)@1.learned(s78,2fa21eda)@1
ab(d6,tt,ord,nb200k)@1	970	15	816	341.802	on	learned(s115,21d7e638)@1	learned(s115,21d7e638)@1	ab(d6,tt,ord,nb200k)@1.learned(s115,21d7e638)@1
ab(d6,tt,ord,nb200k)@1	957	15	816	346.977	on	learned(s114,316257e9)@1	learned(s114,316257e9)@1	ab(d6,tt,ord,nb200k)@1.learned(s114,316257e9)@1
ab(d6,tt,ord,nb200k)@1	949	15	816	378.117	on	learned(s110,1466db6c)@1	learned(s110,1466db6c)@1	ab(d6,tt,ord,nb200k)@1.learned(s110,1466db6c)@1
ab(d6,tt,ord,nb200k)@1	947	11	1312	15.337	on	learned(s10,fead67b7)@1	learned(s10,fead67b7)@1	ab(d6,tt,ord,nb200k)@1.learned(s10,fead67b7)@1
ab(d6,tt,ord,nb200k)@1	940	15	816	2195.577	on	learned(s79,18f19059)@1	learned(s79,18f19059)@1	ab(d6,tt,ord,nb200k)@1.learned(s79,18f19059)@1
ab(d6,tt,ord,nb200k)@1	926	10	1456	11.423	on	learned(s99,59815079)@1	learned(s99,59815079)@1	ab(d6,tt,ord,nb200k)@1.learned(s99,59815079)@1
ab(d6,tt,ord,nb200k)@1	923	11	1312	10.965	on	learned(s9,e5b3b014)@1	learned(s9,e5b3b014)@1	ab(d6,tt,ord,nb200k)@1.learned(s9,e5b3b014)@1
ab(d6,tt,ord,nb200k)@1	908	14	816	382.853	on	learned(s112,baa2951a)@1	learned(s112,baa2951a)@1	ab(d6,tt,ord,nb200k)@1.learned(s112,baa2951a)@1
ab(d6,tt,ord,nb200k)@1	903	12	1312	5.877	on	classic(c4,w0,l0)@2.dil(r15,d4)@1	classic(t1,c4,w0,l0)@2.dil(r15,d4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r15,d4)@1
ab(d6,tt,ord,nb200k)@1	872	12	1312	5.030	on	classic(c4,w0,l0)@2.dil(r30,d4)@1	classic(t1,c4,w0,l0)@2.dil(r30,d4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r30,d4)@1
ab(d6,tt,ord,nb200k)@1	861	12	1000	14.277	on	learned(s94,784bb5fe)@1	learned(s94,784bb5fe)@1	ab(d6,tt,ord,nb200k)@1.learned(s94,784bb5fe)@1
ab(d6,tt,ord,nb200k)@1	837	12	1000	13.084	on	learned(s95,07792e69)@1	learned(s95,07792e69)@1	ab(d6,tt,ord,nb200k)@1.learned(s95,07792e69)@1
ab(d6,tt,ord,nb200k)@1	837	11	1312	3.849	on	classic(c4,w0,l0)@2.dil(r45,d4)@1	classic(t1,c4,w0,l0)@2.dil(r45,d4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r45,d4)@1
ab(d6,tt,ord,nb200k)@1	825	11	1312	2.900	on	classic(c4,w0,l0)@2.dil(r60,d4)@1	classic(t1,c4,w0,l0)@2.dil(r60,d4)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r60,d4)@1
ab(d6,tt,ord,nb200k)@1	748	11	1312	8.502	on	classic(c4,w0,l0)@2.dil(r10)@1	classic(t1,c4,w0,l0)@2.dil(r10)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
ab(d6,tt,ord,nb200k)@1	729	12	1000	11.996	on	learned(s97,87a5093d)@1	learned(s97,87a5093d)@1	ab(d6,tt,ord,nb200k)@1.learned(s97,87a5093d)@1
ab(d6,tt,ord,nb200k)@1	694	11	1312	3.226	on	classic(c4,w0,l0)@2.dil(r60,d3)@1	classic(t1,c4,w0,l0)@2.dil(r60,d3)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r60,d3)@1
ab(d6,tt,ord,nb200k)@1	653	11	1312	8.407	on	classic(c4,w0,l0)@2.dil(r14)@1	classic(t1,c4,w0,l0)@2.dil(r14)@1	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r14)@1
